PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20398808","A worm rich in protein: Quantitative, differential, and global proteomics in Caenorhabditis elegans","Schrimpf SP, Hengartner MO.","J Proteomics. 2010 Oct 10;73(11):2186-97. doi: 10.1016/j.jprot.2010.03.014. Epub 2010 Apr 14.","Schrimpf SP","J Proteomics","2010","2010/04/20","","","10.1016/j.jprot.2010.03.014"
"20029841","Caenorhabditis elegans proteomics comes of age","Shim YH, Paik YK.","Proteomics. 2010 Feb;10(4):846-57. doi: 10.1002/pmic.200900542.","Shim YH","Proteomics","2010","2009/12/24","","","10.1002/pmic.200900542"
"12858183","Metabolic labeling of C. elegans and D. melanogaster for quantitative proteomics","Krijgsveld J, Ketting RF, Mahmoudi T, Johansen J, Artal-Sanz M, Verrijzer CP, Plasterk RH, Heck AJ.","Nat Biotechnol. 2003 Aug;21(8):927-31. doi: 10.1038/nbt848. Epub 2003 Jul 13.","Krijgsveld J","Nat Biotechnol","2003","2003/07/15","","","10.1038/nbt848"
"23076279","Strength in numbers: ""Omics"" studies of C. elegans innate immunity","Simonsen KT, Gallego SF, Færgeman NJ, Kallipolitis BH.","Virulence. 2012 Oct 1;3(6):477-84. doi: 10.4161/viru.21906. Epub 2012 Oct 1.","Simonsen KT","Virulence","2012","2012/10/19","PMC3524146","","10.4161/viru.21906"
"25957690","Widespread Proteome Remodeling and Aggregation in Aging C. elegans","Walther DM, Kasturi P, Zheng M, Pinkert S, Vecchi G, Ciryam P, Morimoto RI, Dobson CM, Vendruscolo M, Mann M, Hartl FU.","Cell. 2015 May 7;161(4):919-32. doi: 10.1016/j.cell.2015.03.032.","Walther DM","Cell","2015","2015/05/11","PMC4643853","NIHMS735950","10.1016/j.cell.2015.03.032"
"22315971","Redox proteomics analyses of the influence of co-expression of wild-type or mutated LRRK2 and Tau on C. elegans protein expression and oxidative modification: relevance to Parkinson disease","Di Domenico F, Sultana R, Ferree A, Smith K, Barone E, Perluigi M, Coccia R, Pierce W, Cai J, Mancuso C, Squillace R, Wiengele M, Dalle-Donne I, Wolozin B, Butterfield DA.","Antioxid Redox Signal. 2012 Dec 1;17(11):1490-506. doi: 10.1089/ars.2011.4312. Epub 2012 Mar 20.","Di Domenico F","Antioxid Redox Signal","2012","2012/02/10","PMC3448940","","10.1089/ars.2011.4312"
"26552604","Micro-proteomics with iterative data analysis: Proteome analysis in C. elegans at the single worm level","Bensaddek D, Narayan V, Nicolas A, Murillo AB, Gartner A, Kenyon CJ, Lamond AI.","Proteomics. 2016 Feb;16(3):381-92. doi: 10.1002/pmic.201500264. Epub 2016 Jan 7.","Bensaddek D","Proteomics","2016","2015/11/11","PMC4819713","","10.1002/pmic.201500264"
"18565984","Functional genomic, computational and proteomic analysis of C. elegans microRNAs","Lehrbach NJ, Miska EA.","Brief Funct Genomic Proteomic. 2008 May;7(3):228-35. doi: 10.1093/bfgp/eln024. Epub 2008 Jun 19.","Lehrbach NJ","Brief Funct Genomic Proteomic","2008","2008/06/21","","","10.1093/bfgp/eln024"
"35334227","Isolation, profiling, and tracking of extracellular vesicle cargo in Caenorhabditis elegans","Nikonorova IA, Wang J, Cope AL, Tilton PE, Power KM, Walsh JD, Akella JS, Krauchunas AR, Shah P, Barr MM.","Curr Biol. 2022 May 9;32(9):1924-1936.e6. doi: 10.1016/j.cub.2022.03.005. Epub 2022 Mar 24.","Nikonorova IA","Curr Biol","2022","2022/03/25","PMC9491618","NIHMS1793000","10.1016/j.cub.2022.03.005"
"33633188","Exploring the conservation of Alzheimer-related pathways between H. sapiens and C. elegans: a network alignment approach","Apostolakou AE, Sula XK, Nastou KC, Nasi GI, Iconomidou VA.","Sci Rep. 2021 Feb 25;11(1):4572. doi: 10.1038/s41598-021-83892-9.","Apostolakou AE","Sci Rep","2021","2021/02/26","PMC7907373","","10.1038/s41598-021-83892-9"
"29702244","Hydroxysteroid dehydrogenase family proteins on lipid droplets through bacteria, C. elegans, and mammals","Liu Y, Xu S, Zhang C, Zhu X, Hammad MA, Zhang X, Christian M, Zhang H, Liu P.","Biochim Biophys Acta Mol Cell Biol Lipids. 2018 Aug;1863(8):881-894. doi: 10.1016/j.bbalip.2018.04.018. Epub 2018 Apr 25.","Liu Y","Biochim Biophys Acta Mol Cell Biol Lipids","2018","2018/04/28","","","10.1016/j.bbalip.2018.04.018"
"40147734","The C. elegans glutamate transporters GLT-4 and GLT-5 regulate protein expression, behavior, and lifespan","Bronstone GJ, Harton M, Muldowney M, Reigle J, Funk AJ, O'Donovan SM, McCullumsmith RE, Bauer DE.","Neurochem Int. 2025 Jun;186:105966. doi: 10.1016/j.neuint.2025.105966. Epub 2025 Mar 25.","Bronstone GJ","Neurochem Int","2025","2025/03/27","PMC12053503","NIHMS2069969","10.1016/j.neuint.2025.105966"
"32759342","Organismal Protein Homeostasis Mechanisms","Hoppe T, Cohen E.","Genetics. 2020 Aug;215(4):889-901. doi: 10.1534/genetics.120.301283.","Hoppe T","Genetics","2020","2020/08/08","PMC7404231","","10.1534/genetics.120.301283"
"25554795","Iron promotes protein insolubility and aging in C. elegans","Klang IM, Schilling B, Sorensen DJ, Sahu AK, Kapahi P, Andersen JK, Swoboda P, Killilea DW, Gibson BW, Lithgow GJ.","Aging (Albany NY). 2014 Nov;6(11):975-91. doi: 10.18632/aging.100689.","Klang IM","Aging (Albany NY)","2014","2015/01/03","PMC4276790","","10.18632/aging.100689"
"25839106","Integrating -Omics: Systems Biology as Explored Through C. elegans Research","Van Assche R, Broeckx V, Boonen K, Maes E, De Haes W, Schoofs L, Temmerman L.","J Mol Biol. 2015 Oct 23;427(21):3441-51. doi: 10.1016/j.jmb.2015.03.015. Epub 2015 Apr 1.","Van Assche R","J Mol Biol","2015","2015/04/04","","","10.1016/j.jmb.2015.03.015"
"39505117","The abundance change of age-regulated secreted proteins affects lifespan of C. elegans","Bhunia PK, Raj V, Kasturi P.","Mech Ageing Dev. 2024 Dec;222:112003. doi: 10.1016/j.mad.2024.112003. Epub 2024 Nov 5.","Bhunia PK","Mech Ageing Dev","2024","2024/11/06","","","10.1016/j.mad.2024.112003"
"33758928","microRNA-mediated translation repression through GYF-1 and IFE-4 in C. elegans development","Mayya VK, Flamand MN, Lambert AM, Jafarnejad SM, Wohlschlegel JA, Sonenberg N, Duchaine TF.","Nucleic Acids Res. 2021 May 21;49(9):4803-4815. doi: 10.1093/nar/gkab162.","Mayya VK","Nucleic Acids Res","2021","2021/03/24","PMC8136787","","10.1093/nar/gkab162"
"21874006","Quantitative proteomics by amino acid labeling in C. elegans","Fredens J, Engholm-Keller K, Giessing A, Pultz D, Larsen MR, Højrup P, Møller-Jensen J, Færgeman NJ.","Nat Methods. 2011 Aug 28;8(10):845-7. doi: 10.1038/nmeth.1675.","Fredens J","Nat Methods","2011","2011/08/30","","","10.1038/nmeth.1675"
"30242660","C.el Phosphatome: A Catalogue of Actual and Pseudo Phosphatases Based on In-Silico Studies in Caenorhabditis elegans","Fatima S, Shukla S, Nazir A.","Protein J. 2018 Dec;37(6):572-580. doi: 10.1007/s10930-018-9794-6.","Fatima S","Protein J","2018","2018/09/23","","","10.1007/s10930-018-9794-6"
"36791646","Peroxiredoxin 2 is required for the redox mediated adaptation to exercise","Xia Q, Casas-Martinez JC, Zarzuela E, Muñoz J, Miranda-Vizuete A, Goljanek-Whysall K, McDonagh B.","Redox Biol. 2023 Apr;60:102631. doi: 10.1016/j.redox.2023.102631. Epub 2023 Feb 9.","Xia Q","Redox Biol","2023","2023/02/15","PMC9950660","","10.1016/j.redox.2023.102631"
"18653799","Use of shotgun proteomics for the identification, confirmation, and correction of C. elegans gene annotations","Merrihew GE, Davis C, Ewing B, Williams G, Käll L, Frewen BE, Noble WS, Green P, Thomas JH, MacCoss MJ.","Genome Res. 2008 Oct;18(10):1660-9. doi: 10.1101/gr.077644.108. Epub 2008 Jul 24.","Merrihew GE","Genome Res","2008","2008/07/26","PMC2556273","","10.1101/gr.077644.108"
"28932706","Global Proteomics Revealed Klebsiella pneumoniae Induced Autophagy and Oxidative Stress in Caenorhabditis elegans by Inhibiting PI3K/AKT/mTOR Pathway during Infection","Kamaladevi A, Balamurugan K.","Front Cell Infect Microbiol. 2017 Sep 6;7:393. doi: 10.3389/fcimb.2017.00393. eCollection 2017.","Kamaladevi A","Front Cell Infect Microbiol","2017","2017/09/22","PMC5592217","","10.3389/fcimb.2017.00393"
"37432911","Mass Spectrometry-Based Multi-omics Integration with a Single Set of C. elegans Samples","Zhu Y, Jen A, Overmyer KA, Gao AW, Shishkova E, Auwerx J, Coon JJ.","Anal Chem. 2023 Jul 25;95(29):10930-10938. doi: 10.1021/acs.analchem.3c00734. Epub 2023 Jul 11.","Zhu Y","Anal Chem","2023","2023/07/11","PMC10863427","NIHMS1960949","10.1021/acs.analchem.3c00734"
"29656019","Proteomic identification of virulence-related factors in young and aging C. elegans infected with Pseudomonas aeruginosa","King CD, Singh D, Holden K, Govan AB, Keith SA, Ghazi A, Robinson RAS.","J Proteomics. 2018 Jun 15;181:92-103. doi: 10.1016/j.jprot.2018.04.006. Epub 2018 Apr 12.","King CD","J Proteomics","2018","2018/04/16","","","10.1016/j.jprot.2018.04.006"
"28119113","Quantitative proteomics analysis of Caenorhabditis elegans upon germ cell loss","Pu YZ, Wan QL, Ding AJ, Luo HR, Wu GS.","J Proteomics. 2017 Mar 6;156:85-93. doi: 10.1016/j.jprot.2017.01.011. Epub 2017 Jan 21.","Pu YZ","J Proteomics","2017","2017/01/26","","","10.1016/j.jprot.2017.01.011"
"32524575","Affinity Purification and Preparation of Peptides for Mass Spectrometry from C. elegans","Popiel E, Derry WB.","Methods Mol Biol. 2020;2152:479-485. doi: 10.1007/978-1-0716-0640-7_36.","Popiel E","Methods Mol Biol","2020","2020/06/12","","","10.1007/978-1-0716-0640-7_36"
"25963834","Global Proteomics Analysis of the Response to Starvation in C. elegans","Larance M, Pourkarimi E, Wang B, Brenes Murillo A, Kent R, Lamond AI, Gartner A.","Mol Cell Proteomics. 2015 Jul;14(7):1989-2001. doi: 10.1074/mcp.M114.044289. Epub 2015 May 11.","Larance M","Mol Cell Proteomics","2015","2015/05/13","PMC4587315","","10.1074/mcp.M114.044289"
"37066813","Digital Microfluidics and Magnetic Bead-Based Intact Proteoform Elution for Quantitative Top-down Nanoproteomics of Single C. elegans Nematodes","Leipert J, Kaulich PT, Steinbach MK, Steer B, Winkels K, Blurton C, Leippe M, Tholey A.","Angew Chem Int Ed Engl. 2023 Jul 10;62(28):e202301969. doi: 10.1002/anie.202301969. Epub 2023 May 31.","Leipert J","Angew Chem Int Ed Engl","2023","2023/04/17","","","10.1002/anie.202301969"
"37341110","Intestinal Barrier Protective Study of Jujube Peel Polyphenols/Zein Complexes by a Combined Caco-2 Cell and Caenorhabditis elegans Model: A Perspective of Proteomics","Zhu J, Dou J, Wu C, Fan G, Li T, Shen D.","J Agric Food Chem. 2023 Jul 5;71(26):10097-10106. doi: 10.1021/acs.jafc.3c03361. Epub 2023 Jun 21.","Zhu J","J Agric Food Chem","2023","2023/06/21","","","10.1021/acs.jafc.3c03361"
"28508547","Functional phosphatome requirement for protein homeostasis, networked mitochondria, and sarcomere structure in C. elegans muscle","Lehmann S, Bass JJ, Barratt TF, Ali MZ, Szewczyk NJ.","J Cachexia Sarcopenia Muscle. 2017 Aug;8(4):660-672. doi: 10.1002/jcsm.12196. Epub 2017 May 15.","Lehmann S","J Cachexia Sarcopenia Muscle","2017","2017/05/17","PMC5566650","","10.1002/jcsm.12196"
"16339362","Genomics in C. elegans: so many genes, such a little worm","Hillier LW, Coulson A, Murray JI, Bao Z, Sulston JE, Waterston RH.","Genome Res. 2005 Dec;15(12):1651-60. doi: 10.1101/gr.3729105.","Hillier LW","Genome Res","2005","2005/12/13","","","10.1101/gr.3729105"
"29407924","Effects of conjugated linoleic acid (CLA) on fat accumulation, activity, and proteomics analysis in Caenorhabditis elegans","Shen P, Kershaw JC, Yue Y, Wang O, Kim KH, McClements DJ, Park Y.","Food Chem. 2018 May 30;249:193-201. doi: 10.1016/j.foodchem.2018.01.017. Epub 2018 Jan 3.","Shen P","Food Chem","2018","2018/02/07","","","10.1016/j.foodchem.2018.01.017"
"21389771","Quantitative proteomics identifies ferritin in the innate immune response of C. elegans","Simonsen KT, Møller-Jensen J, Kristensen AR, Andersen JS, Riddle DL, Kallipolitis BH.","Virulence. 2011 Mar-Apr;2(2):120-30. doi: 10.4161/viru.2.2.15270. Epub 2011 Mar 1.","Simonsen KT","Virulence","2011","2011/03/11","","","10.4161/viru.2.2.15270"
"38044578","Single-worm quantitative proteomics reveals aging heterogeneity in isogenic Caenorhabditis elegans","Zhu TY, Li ST, Liu DD, Zhang X, Zhou L, Zhou R, Yang B.","Aging Cell. 2024 Mar;23(3):e14055. doi: 10.1111/acel.14055. Epub 2023 Dec 3.","Zhu TY","Aging Cell","2024","2023/12/04","PMC10928571","","10.1111/acel.14055"
"38240316","Organelle proteomic profiling reveals lysosomal heterogeneity in association with longevity","Yu Y, Gao SM, Guan Y, Hu PW, Zhang Q, Liu J, Jing B, Zhao Q, Sabatini DM, Abu-Remaileh M, Jung SY, Wang MC.","Elife. 2024 Jan 19;13:e85214. doi: 10.7554/eLife.85214.","Yu Y","Elife","2024","2024/01/19","PMC10876212","","10.7554/eLife.85214"
"31055208","Differential modification of the C. elegans proteome in response to acute and chronic gamma radiation: Link with reproduction decline","Dubois C, Pophillat M, Audebert S, Fourquet P, Lecomte C, Dubourg N, Galas S, Camoin L, Frelon S.","Sci Total Environ. 2019 Aug 1;676:767-781. doi: 10.1016/j.scitotenv.2019.04.039. Epub 2019 Apr 23.","Dubois C","Sci Total Environ","2019","2019/05/06","","","10.1016/j.scitotenv.2019.04.039"
"28659600","Comparative genetic, proteomic and phosphoproteomic analysis of C. elegans embryos with a focus on ham-1/STOX and pig-1/MELK in dopaminergic neuron development","Offenburger SL, Bensaddek D, Murillo AB, Lamond AI, Gartner A.","Sci Rep. 2017 Jun 28;7(1):4314. doi: 10.1038/s41598-017-04375-4.","Offenburger SL","Sci Rep","2017","2017/06/30","PMC5489525","","10.1038/s41598-017-04375-4"
"26390854","Metabolome and proteome changes with aging in Caenorhabditis elegans","Copes N, Edwards C, Chaput D, Saifee M, Barjuca I, Nelson D, Paraggio A, Saad P, Lipps D, Stevens SM Jr, Bradshaw PC.","Exp Gerontol. 2015 Dec;72:67-84. doi: 10.1016/j.exger.2015.09.013. Epub 2015 Sep 21.","Copes N","Exp Gerontol","2015","2015/09/23","PMC5473633","NIHMS728925","10.1016/j.exger.2015.09.013"
"27809888","The struggle by Caenorhabditis elegans to maintain proteostasis during aging and disease","Kikis EA.","Biol Direct. 2016 Nov 3;11(1):58. doi: 10.1186/s13062-016-0161-2.","Kikis EA","Biol Direct","2016","2016/11/05","PMC5093949","","10.1186/s13062-016-0161-2"
"30078680","Quantitative phosphoproteomics reveals GTBP-1 regulating C.elegans lifespan at different environmental temperatures","Huang J, Wu Z, Wang J, Zhang X.","Biochem Biophys Res Commun. 2018 Sep 10;503(3):1962-1967. doi: 10.1016/j.bbrc.2018.07.142. Epub 2018 Aug 2.","Huang J","Biochem Biophys Res Commun","2018","2018/08/07","","","10.1016/j.bbrc.2018.07.142"
"26121959","Lipidomic and proteomic analysis of Caenorhabditis elegans lipid droplets and identification of ACS-4 as a lipid droplet-associated protein","Vrablik TL, Petyuk VA, Larson EM, Smith RD, Watts JL.","Biochim Biophys Acta. 2015 Oct;1851(10):1337-45. doi: 10.1016/j.bbalip.2015.06.004. Epub 2015 Jun 27.","Vrablik TL","Biochim Biophys Acta","2015","2015/07/01","PMC4561591","NIHMS711081","10.1016/j.bbalip.2015.06.004"
"11175356","Genetic analysis of ETS genes in C. elegans","Hart AH, Reventar R, Bernstein A.","Oncogene. 2000 Dec 18;19(55):6400-8. doi: 10.1038/sj.onc.1204040.","Hart AH","Oncogene","2000","2001/02/15","","","10.1038/sj.onc.1204040"
"36169889","A comparative meta-analysis of membraneless organelle-associated proteins with age related proteome of C. elegans","Mukherjee P, Panda P, Kasturi P.","Cell Stress Chaperones. 2022 Nov;27(6):619-631. doi: 10.1007/s12192-022-01299-5. Epub 2022 Sep 28.","Mukherjee P","Cell Stress Chaperones","2022","2022/09/28","PMC9672229","","10.1007/s12192-022-01299-5"
"31216475","Functional Proteomics Identifies a PICS Complex Required for piRNA Maturation and Chromosome Segregation","Zeng C, Weng C, Wang X, Yan YH, Li WJ, Xu D, Hong M, Liao S, Dong MQ, Feng X, Xu C, Guang S.","Cell Rep. 2019 Jun 18;27(12):3561-3572.e3. doi: 10.1016/j.celrep.2019.05.076.","Zeng C","Cell Rep","2019","2019/06/20","","","10.1016/j.celrep.2019.05.076"
"38554597","Comparative structure activity and target exploration of 1,2-diphenylethynes in Haemonchus contortus and Caenorhabditis elegans","Shanley HT, Taki AC, Nguyen N, Wang T, Byrne JJ, Ang CS, Leeming MG, Williamson N, Chang BCH, Jabbar A, Sleebs BE, Gasser RB.","Int J Parasitol Drugs Drug Resist. 2024 Aug;25:100534. doi: 10.1016/j.ijpddr.2024.100534. Epub 2024 Mar 19.","Shanley HT","Int J Parasitol Drugs Drug Resist","2024","2024/03/30","PMC10992699","","10.1016/j.ijpddr.2024.100534"
"38753231","Amyloid β accelerates age-related proteome-wide protein insolubility","Anderton E, Chamoli M, Bhaumik D, King CD, Xie X, Foulger A, Andersen JK, Schilling B, Lithgow GJ.","Geroscience. 2024 Oct;46(5):4585-4602. doi: 10.1007/s11357-024-01169-1. Epub 2024 May 16.","Anderton E","Geroscience","2024","2024/05/16","PMC11335993","","10.1007/s11357-024-01169-1"
"38852157","Reproductive regulation of the mitochondrial stress response in Caenorhabditis elegans","Charmpilas N, Sotiriou A, Axarlis K, Tavernarakis N, Hoppe T.","Cell Rep. 2024 Jun 25;43(6):114336. doi: 10.1016/j.celrep.2024.114336. Epub 2024 Jun 7.","Charmpilas N","Cell Rep","2024","2024/06/09","","","10.1016/j.celrep.2024.114336"
"26133526","Visualization and dissemination of multidimensional proteomics data comparing protein abundance during Caenorhabditis elegans development","Riffle M, Merrihew GE, Jaschob D, Sharma V, Davis TN, Noble WS, MacCoss MJ.","J Am Soc Mass Spectrom. 2015 Nov;26(11):1827-36. doi: 10.1007/s13361-015-1193-z. Epub 2015 Jul 2.","Riffle M","J Am Soc Mass Spectrom","2015","2015/07/03","PMC4607629","NIHMS704624","10.1007/s13361-015-1193-z"
"38811853","TRP14 is the rate-limiting enzyme for intracellular cystine reduction and regulates proteome cysteinylation","Martí-Andrés P, Finamor I, Torres-Cuevas I, Pérez S, Rius-Pérez S, Colino-Lage H, Guerrero-Gómez D, Morato E, Marina A, Michalska P, León R, Cheng Q, Jurányi EP, Borbényi-Galambos K, Millán I, Nagy P, Miranda-Vizuete A, Schmidt EE, Martínez-Ruiz A, Arnér ES, Sastre J.","EMBO J. 2024 Jul;43(13):2789-2812. doi: 10.1038/s44318-024-00117-1. Epub 2024 May 29.","Martí-Andrés P","EMBO J","2024","2024/05/29","PMC11217419","","10.1038/s44318-024-00117-1"
"37776851","Analysis of proteome-wide degradation dynamics in ALS SOD1 iPSC-derived patient neurons reveals disrupted VCP homeostasis","Tsioras K, Smith KC, Edassery SL, Garjani M, Li Y, Williams C, McKenna ED, Guo W, Wilen AP, Hark TJ, Marklund SL, Ostrow LW, Gilthorpe JD, Ichida JK, Kalb RG, Savas JN, Kiskinis E.","Cell Rep. 2023 Oct 31;42(10):113160. doi: 10.1016/j.celrep.2023.113160. Epub 2023 Sep 29.","Tsioras K","Cell Rep","2023","2023/09/30","PMC10785776","NIHMS1941862","10.1016/j.celrep.2023.113160"
"24581041","Characterisation of Caenorhabditis elegans sperm transcriptome and proteome","Ma X, Zhu Y, Li C, Xue P, Zhao Y, Chen S, Yang F, Miao L.","BMC Genomics. 2014 Feb 28;15:168. doi: 10.1186/1471-2164-15-168.","Ma X","BMC Genomics","2014","2014/03/04","PMC4028957","","10.1186/1471-2164-15-168"
"21388411","C. elegans homologs of insect clock proteins: a tale of many stories","Temmerman L, Meelkop E, Janssen T, Bogaerts A, Lindemans M, Husson SJ, Beets I, Schoofs L.","Ann N Y Acad Sci. 2011 Mar;1220:137-48. doi: 10.1111/j.1749-6632.2010.05927.x.","Temmerman L","Ann N Y Acad Sci","2011","2011/03/11","","","10.1111/j.1749-6632.2010.05927.x"
"28508060","In vivo mapping of tissue- and subcellular-specific proteomes in Caenorhabditis elegans","Reinke AW, Mak R, Troemel ER, Bennett EJ.","Sci Adv. 2017 May 10;3(5):e1602426. doi: 10.1126/sciadv.1602426. eCollection 2017 May.","Reinke AW","Sci Adv","2017","2017/05/17","PMC5425238","","10.1126/sciadv.1602426"
"20546956","Identifying components of protein complexes in C. elegans using co-immunoprecipitation and mass spectrometry","Moresco JJ, Carvalho PC, Yates JR 3rd.","J Proteomics. 2010 Oct 10;73(11):2198-204. doi: 10.1016/j.jprot.2010.05.008. Epub 2010 May 28.","Moresco JJ","J Proteomics","2010","2010/06/16","PMC3279190","NIHMS208544","10.1016/j.jprot.2010.05.008"
"38753516","MACSPI enables tissue-selective proteomic and interactomic analyses in multicellular organisms","Huang S, Ran Q, Li XM, Bao X, Zheng C, Li XD.","Proc Natl Acad Sci U S A. 2024 May 21;121(21):e2319060121. doi: 10.1073/pnas.2319060121. Epub 2024 May 16.","Huang S","Proc Natl Acad Sci U S A","2024","2024/05/16","PMC11126916","","10.1073/pnas.2319060121"
"23580547","Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1","Arczewska KD, Tomazella GG, Lindvall JM, Kassahun H, Maglioni S, Torgovnick A, Henriksson J, Matilainen O, Marquis BJ, Nelson BC, Jaruga P, Babaie E, Holmberg CI, Bürglin TR, Ventura N, Thiede B, Nilsen H.","Nucleic Acids Res. 2013 May 1;41(10):5368-81. doi: 10.1093/nar/gkt225. Epub 2013 Apr 10.","Arczewska KD","Nucleic Acids Res","2013","2013/04/13","PMC3664812","","10.1093/nar/gkt225"
"19916504","Worms from venus and mars: proteomics profiling of sexual differences in Caenorhabditis elegans using in vivo 15N isotope labeling","Tops BB, Gauci S, Heck AJ, Krijgsveld J.","J Proteome Res. 2010 Jan;9(1):341-51. doi: 10.1021/pr900678j.","Tops BB","J Proteome Res","2010","2009/11/18","","","10.1021/pr900678j"
"30919281","Origination and evolution of orphan genes and de novo genes in the genome of Caenorhabditis elegans","Zhang W, Gao Y, Long M, Shen B.","Sci China Life Sci. 2019 Apr;62(4):579-593. doi: 10.1007/s11427-019-9482-0. Epub 2019 Mar 21.","Zhang W","Sci China Life Sci","2019","2019/03/29","","","10.1007/s11427-019-9482-0"
