Abstract	Author	Author Hierarchy	Bookmarks	Cited By Count	Country	DatasetIds	DOI	Funding Details	Id	Keywords	Link	Organization	OriginId	Publication Name	Publication Type	Published	Published Year	Title	Cluster Label	Collection Date	Collection Group	Collection Label	Collection Owner	Comment Author	Comment Date	Comment Id	Comment Text
	Ruslan Sanishvili|Alexander F Yakunin|Roman A Laskowski|Tatiana Skarina|Elena Evdokimova|Amanda Doherty-Kirby|Gilles A Lajoie|Janet M Thornton|Cheryl H Arrowsmith|Alexei Savchenko|Andrzej Joachimiak|Aled M Edwards			35	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1074/jbc.M303867200		668da6b6393fbc602a7f3f7b	Biotin|Carboxylic Ester Hydrolases|Catalytic Domain|Computational Biology|Crystallography, X-Ray|Electrons|Escherichia coli|Escherichia coli Proteins|Hydrogen Bonding|Kinetics|Mass Spectrometry|Models, Molecular|Phosphoric Diester Hydrolases|Protein Conformation|Protein Folding|Protein Structure, Tertiary	https://pubmed.ncbi.nlm.nih.gov/12732651		12732651	The Journal of biological chemistry	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,Research Support, U.S. Gov't, P.H.S.	2003-07-11T00:00:00Z	2003	Integrating structure, bioinformatics, and enzymology to discover function: BioH, a new carboxylesterase from Escherichia coli.									
	Marina Snapyan|Michèle Lecocq|Laetitia Guével|Marie-Claire Arnaud|Anahit Ghochikyan|Vehary Sakanyan			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/pmic.200300390		668da6b6393fbc602a7f3f7c	Bacterial Proteins|Base Sequence|DNA, Bacterial|Escherichia coli|Escherichia coli Proteins|Genes, Bacterial|Geobacillus stearothermophilus|Molecular Sequence Data|Operator Regions, Genetic|Promoter Regions, Genetic|Protein Array Analysis|Protein Binding|Proteomics|Sensitivity and Specificity|Spectroscopy, Near-Infrared|Transcription, Genetic	https://pubmed.ncbi.nlm.nih.gov/12748944		12748944	Proteomics	Journal Article,Research Support, Non-U.S. Gov't	2003-05-01T00:00:00Z	2003	Dissecting DNA-protein and protein-protein interactions involved in bacterial transcriptional regulation by a sensitive protein array method combining a near-infrared fluorescence detection.									
	Rosslyn M Birch|Conor O'Byrne|Ian R Booth|Phillip Cash			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/pmic.200300397		668da6b6393fbc602a7f3f7d	Coloring Agents|Electrophoresis, Gel, Two-Dimensional|Escherichia coli|Escherichia coli Proteins|Hydrogen-Ion Concentration|Peptide Mapping|Proteomics	https://pubmed.ncbi.nlm.nih.gov/12748954		12748954	Proteomics	Journal Article,Research Support, Non-U.S. Gov't	2003-05-01T00:00:00Z	2003	Enrichment of Escherichia coli proteins by column chromatography on reactive dye columns.									
	Natascha H Beyer|Peter Roepstorff|Karin Hammer|Mogens Kilstrup			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/pmic.200300416		668da6b6393fbc602a7f3f7e	Adenosine|Amino Acid Sequence|Bacterial Proteins|DNA, Bacterial|Electrophoresis, Gel, Two-Dimensional|Gene Expression|Genes, Bacterial|Guanosine Monophosphate|Lactococcus lactis|Molecular Sequence Data|Proteome|Proteomics|Purines|Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization	https://pubmed.ncbi.nlm.nih.gov/12748956		12748956	Proteomics	Comparative Study,Journal Article,Research Support, Non-U.S. Gov't	2003-05-01T00:00:00Z	2003	Proteome analysis of the purine stimulon from Lactococcus lactis.									
	Vladimir Kery|Justin R Savage|Kartika Widjaja|B Kelly Blake|David R Conklin|Yew-Seng J Ho|Xinghua Long|Moritz von Rechenberg|Thomas I Zarembinski|J Jay Boniface			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1016/s0003-2697(03)00116-7		668da6b6393fbc602a7f3f7f	Blotting, Western|Chromatography, Affinity|Enzyme-Linked Immunosorbent Assay|Escherichia coli|Gene Expression|Glutathione Transferase|Recombinant Fusion Proteins|Reproducibility of Results	https://pubmed.ncbi.nlm.nih.gov/12758265		12758265	Analytical biochemistry	Journal Article	2003-06-15T00:00:00Z	2003	Expression screen by enzyme-linked immunofiltration assay designed for high-throughput purification of affinity-tagged proteins.									
	Eugene Hayato Morita|Tatsuya Sawasaki|Rikou Tanaka|Yaeta Endo|Toshiyuki Kohno			16	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1110/ps.0241203		668da6b6393fbc602a7f3f80	Cell-Free System|Electrophoresis, Polyacrylamide Gel|Escherichia coli|Magnetic Resonance Spectroscopy|Plant Proteins|Protein Folding|Proteomics|Structure-Activity Relationship|Triticum|Ubiquitin	https://pubmed.ncbi.nlm.nih.gov/12761392		12761392	Protein science : a publication of the Protein Society	Comparative Study,Journal Article,Research Support, Non-U.S. Gov't	2003-06-01T00:00:00Z	2003	A wheat germ cell-free system is a novel way to screen protein folding and function.									
	Udupi A Ramagopal|Miroslawa Dauter|Zbigniew Dauter			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1107/s0907444903007467		668da6b6393fbc602a7f3f81	Aldose-Ketose Isomerases|Crystallography, X-Ray|Escherichia coli|Molecular Conformation|Molecular Weight|Proteins|Sulfur|X-Ray Diffraction	https://pubmed.ncbi.nlm.nih.gov/12777765		12777765	Acta crystallographica. Section D, Biological crystallography	Journal Article	2003-06-01T00:00:00Z	2003	Phasing on anomalous signal of sulfurs: what is the limit?									
	Matthew S Kimber|François Vallee|Simon Houston|Alexander Necakov|Tatiana Skarina|Elena Evdokimova|Steven Beasley|Dinesh Christendat|Alexei Savchenko|Cheryl H Arrowsmith|Masoud Vedadi|Mark Gerstein|Aled M Edwards			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/prot.10340		668da6b6393fbc602a7f3f82	Archaeal Proteins|Bacterial Proteins|Crystallization|Crystallography, X-Ray|Databases, Protein|Escherichia coli|Helicobacter pylori|Methanobacterium|Phylogeny|Pseudomonas aeruginosa|Staphylococcus aureus|Thermotoga maritima	https://pubmed.ncbi.nlm.nih.gov/12784215		12784215	Proteins	Journal Article,Research Support, Non-U.S. Gov't	2003-06-01T00:00:00Z	2003	Data mining crystallization databases: knowledge-based approaches to optimize protein crystal screens.									
	Kenji Maeda|Christine Finnie|Ole ØStergaard|Birte Svensson			0	England	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1046/j.1432-1033.2003.03637.x		668da6b6393fbc602a7f3f83	Amino Acid Sequence|Animals|Base Sequence|Caenorhabditis|Cloning, Molecular|DNA Primers|Electrophoresis, Gel, Two-Dimensional|Hordeum|Molecular Sequence Data|Plant Proteins|Protein Isoforms|Proteome|Recombinant Proteins|Restriction Mapping|Reverse Transcriptase Polymerase Chain Reaction|Seeds|Sequence Alignment|Sequence Homology, Amino Acid|Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization|Thioredoxins	https://pubmed.ncbi.nlm.nih.gov/12787030		12787030	European journal of biochemistry	Journal Article,Research Support, Non-U.S. Gov't	2003-06-01T00:00:00Z	2003	Identification, cloning and characterization of two thioredoxin h isoforms, HvTrxh1 and HvTrxh2, from the barley seed proteome.									
	Douglas W Selinger|Matthew A Wright|George M Church			0	England	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1016/S0167-7799(03)00113-6		668da6b6393fbc602a7f3f84	Cell Physiological Phenomena|Combinatorial Chemistry Techniques|Computer Simulation|Escherichia coli|Gene Expression Regulation|Humans|Metabolism|Models, Biological|Mycoplasma pneumoniae|Proteome|Proteomics|Reproducibility of Results|Research Design|Sensitivity and Specificity|Species Specificity|Systems Theory	https://pubmed.ncbi.nlm.nih.gov/12788544		12788544	Trends in biotechnology	Comparative Study,Journal Article	2003-06-01T00:00:00Z	2003	On the complete determination of biological systems.									
	Jennifer L Wilcox|Helen E Dunbar|Russell D Wolfinger|Nancy A Moran			0	England	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1046/j.1365-2958.2003.03522.x		668da6b6393fbc602a7f3f85	Amino Acid Sequence|Animals|Aphids|Bacterial Proteins|Base Sequence|Buchnera|Escherichia coli|Evolution, Molecular|Gene Expression Profiling|Gene Expression Regulation, Bacterial|Gene Rearrangement|Genome, Bacterial|Heat-Shock Response|Molecular Sequence Data|Oligonucleotide Array Sequence Analysis|Proteome|Symbiosis|Transcription, Genetic	https://pubmed.ncbi.nlm.nih.gov/12791133		12791133	Molecular microbiology	Journal Article,Research Support, U.S. Gov't, Non-P.H.S.	2003-06-01T00:00:00Z	2003	Consequences of reductive evolution for gene expression in an obligate endosymbiont.									
	Bao-Tong Xie|Yong-Jun Ye|Zu-Xun Gong			0	China	3ca7ede1-93e8-4fdd-98ff-e89a263c1243			668da6b6393fbc602a7f3f86	Escherichia coli|Nucleocapsid|Phosphorylation|Plant Viruses|Protein Kinases|Recombinant Fusion Proteins|Viral Nonstructural Proteins	https://pubmed.ncbi.nlm.nih.gov/12796811		12796811	Sheng wu hua xue yu sheng wu wu li xue bao Acta biochimica et biophysica Sinica	Journal Article,Research Support, Non-U.S. Gov't	2003-06-01T00:00:00Z	2003	The phosphorylation of NS protein of wheat rosette stunt virus.									
	Ernie de Boer|Patrick Rodriguez|Edgar Bonte|Jeroen Krijgsveld|Eleni Katsantoni|Albert Heck|Frank Grosveld|John Strouboulis			26	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1073/pnas.1332608100		668da6b6393fbc602a7f3f87	Animals|Biotinylation|Cell Nucleus|Chromatin|Escherichia coli|Immunoblotting|Mice|Mice, Transgenic|Models, Genetic|Molecular Biology|Protein Binding|Streptavidin|Transcription Factors|Transfection|Tumor Cells, Cultured	https://pubmed.ncbi.nlm.nih.gov/12802011		12802011	Proceedings of the National Academy of Sciences of the United States of America	Journal Article,Research Support, Non-U.S. Gov't	2003-06-24T00:00:00Z	2003	Efficient biotinylation and single-step purification of tagged transcription factors in mammalian cells and transgenic mice.									
	John McCarthy|Femia Hopwood|David Oxley|Matthew Laver|Annalisa Castagna|Pier Giorgio Righetti|Keith Williams|Ben Herbert			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1021/pr025564b		668da6b6393fbc602a7f3f88	Alkylation|Carbamates|Chemical Fractionation|Cyanates|Electrophoresis, Gel, Two-Dimensional|Escherichia coli|Proteins|Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization	https://pubmed.ncbi.nlm.nih.gov/12814262		12814262	Journal of proteome research	Journal Article,Research Support, Non-U.S. Gov't	2003-01-01T00:00:00Z	2003	Carbamylation of proteins in 2-D electrophoresis--myth or reality?									
	Haike Antelmann|Elise Darmon|David Noone|Jan-Willem Veening|Helga Westers|Sierd Bron|Oscar P Kuipers|Kevin M Devine|Michael Hecker|Jan Maarten van Dijl			0	England	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1046/j.1365-2958.2003.03565.x		668da6b6393fbc602a7f3f89	Acyltransferases|Bacillus subtilis|Bacterial Proteins|Culture Media|Escherichia coli Proteins|Gene Expression Regulation, Bacterial|Heat-Shock Proteins|Periplasmic Proteins|Protein Folding|Proteome|Recombinant Fusion Proteins|Serine Endopeptidases|Transcription, Genetic	https://pubmed.ncbi.nlm.nih.gov/12823817		12823817	Molecular microbiology	Journal Article,Research Support, Non-U.S. Gov't	2003-07-01T00:00:00Z	2003	The extracellular proteome of Bacillus subtilis under secretion stress conditions.									
	Kenichi Yamaguchi|María Verónica Beligni|Susana Prieto|Paul A Haynes|W Hayes McDonald|John R Yates|Stephen P Mayfield			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1074/jbc.M301934200		668da6b6393fbc602a7f3f8a	Amino Acid Sequence|Animals|Blotting, Western|Chlamydomonas reinhardtii|Chloroplasts|Chromatography, Liquid|Electrophoresis, Polyacrylamide Gel|Escherichia coli|Gene Deletion|Mass Spectrometry|Molecular Sequence Data|Phylogeny|Protein Structure, Tertiary|Proteome|Ribosomes|Sequence Analysis, DNA|Sequence Homology, Amino Acid|Spinacia oleracea|Time Factors	https://pubmed.ncbi.nlm.nih.gov/12826678		12826678	The Journal of biological chemistry	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,Research Support, U.S. Gov't, P.H.S.	2003-09-05T00:00:00Z	2003	Proteomic characterization of the Chlamydomonas reinhardtii chloroplast ribosome. Identification of proteins unique to th e70 S ribosome.									
	Paola Baglioni|Luca Bini|Sabrina Liberatori|Vitaliano Pallini|Laura Marri			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/pmic.200300403		668da6b6393fbc602a7f3f8b	Amino Acid Sequence|Electrophoresis, Gel, Two-Dimensional|Escherichia coli|Escherichia coli Proteins|Gene Expression Profiling|Gene Expression Regulation, Bacterial|Image Processing, Computer-Assisted|Molecular Sequence Data|Mutation|Peptide Mapping|Periplasmic Proteins|Peroxidases|Proteome|Proteomics|Sequence Homology, Amino Acid|Sigma Factor|Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization	https://pubmed.ncbi.nlm.nih.gov/12833530		12833530	Proteomics	Comparative Study,Journal Article,Research Support, Non-U.S. Gov't	2003-06-01T00:00:00Z	2003	Proteome analysis of Escherichia coli W3110 expressing an heterologous sigma factor.									
	Valerie A Pferdeort|Thomas K Wood|Kenneth F Reardon			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/pmic.200300418		668da6b6393fbc602a7f3f8c	Bacterial Proteins|Biodegradation, Environmental|Electrophoresis, Gel, Two-Dimensional|Escherichia coli|Genes, Bacterial|Isoelectric Point|Mixed Function Oxygenases|Plasmids|Protein Engineering|Proteome|Trichloroethylene	https://pubmed.ncbi.nlm.nih.gov/12833531		12833531	Proteomics	Comparative Study,Journal Article,Research Support, U.S. Gov't, Non-P.H.S.	2003-06-01T00:00:00Z	2003	Proteomic changes in Escherichia coli TG1 after metabolic engineering for enhanced trichloroethene biodegradation.									
	T Zhu|C Phalakornkule|S Ghosh|I E Grossmann|R R Koepsel|M M Ataai|M M Domach			0	Belgium	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1016/s1096-7176(03)00023-5		668da6b6393fbc602a7f3f8d	Computer Simulation|Drug Design|Escherichia coli|Glucose|Glutamic Acid|Magnetic Resonance Spectroscopy|Metabolism|Models, Biological|Models, Chemical|Multienzyme Complexes|Protein Engineering|Proteomics|Pyruvate Kinase|Research Design|User-Computer Interface	https://pubmed.ncbi.nlm.nih.gov/12850130		12850130	Metabolic engineering	Evaluation Study,Journal Article,Research Support, U.S. Gov't, Non-P.H.S.,Validation Study	2003-04-01T00:00:00Z	2003	A metabolic network analysis & NMR experiment design tool with user interface-driven model construction for depth-first search analysis.									
	Jeroen Krijgsveld|René F Ketting|Tokameh Mahmoudi|Janik Johansen|Marta Artal-Sanz|C Peter Verrijzer|Ronald H A Plasterk|Albert J R Heck			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1038/nbt848		668da6b6393fbc602a7f3f8e	Animals|Caenorhabditis elegans|Caenorhabditis elegans Proteins|Drosophila Proteins|Drosophila melanogaster|Gene Expression Regulation|Isotope Labeling|Mass Spectrometry|Nitrogen Isotopes|Proteome|Proteomics|Species Specificity	https://pubmed.ncbi.nlm.nih.gov/12858183		12858183	Nature biotechnology	Comparative Study,Evaluation Study,Journal Article,Validation Study	2003-08-01T00:00:00Z	2003	Metabolic labeling of C. elegans and D. melanogaster for quantitative proteomics.									
	Jonathan E Katz|Mensur Dlakić|Steven Clarke			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1074/mcp.M300037-MCP200		668da6b6393fbc602a7f3f8f	Amino Acid Motifs|Amino Acid Sequence|Animals|Databases, Protein|Genomics|Humans|Methyltransferases|Molecular Sequence Data|Open Reading Frames|Proteomics|Saccharomyces cerevisiae	https://pubmed.ncbi.nlm.nih.gov/12872006		12872006	Molecular & cellular proteomics : MCP	Comparative Study,Journal Article,Research Support, N.I.H., Extramural,Research Support, U.S. Gov't, P.H.S.	2003-08-01T00:00:00Z	2003	Automated identification of putative methyltransferases from genomic open reading frames.									
	Kathleen M Champion|Julie C Nishihara|Ilana S Aldor|G Tony Moreno|Dana Andersen|Kathy L Stults|Martin Vanderlaan			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/pmic.200300430		668da6b6393fbc602a7f3f90	Algorithms|Bacterial Proteins|Bioreactors|Carrier Proteins|Chaperonin 60|Electrophoresis, Gel, Two-Dimensional|Electrophoresis, Polyacrylamide Gel|Escherichia coli|Escherichia coli Proteins|Fermentation|Heat-Shock Proteins|Human Growth Hormone|Humans|Immunoassay|Immunoblotting|Plasmids|Proteome|Recombinant Proteins	https://pubmed.ncbi.nlm.nih.gov/12872237		12872237	Proteomics	Comparative Study,Journal Article	2003-07-01T00:00:00Z	2003	Comparison of the Escherichia coli proteomes for recombinant human growth hormone producing and nonproducing fermentations.									
	Hai-Ning Du|Lin Tang|Xiao-Ying Luo|Hong-Tao Li|Jun Hu|Jia-Wei Zhou|Hong-Yu Hu			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1021/bi034028+		668da6b6393fbc602a7f3f91	Alanine|Amino Acid Motifs|Benzothiazoles|Circular Dichroism|Escherichia coli|Glycine|Humans|Microscopy, Atomic Force|Mutagenesis, Site-Directed|Mutation|Nerve Tissue Proteins|Peptides|Protein Binding|Protein Structure, Secondary|Protein Structure, Tertiary|Recombinant Proteins|Synucleins|Thiazoles|Time Factors|Valine|alpha-Synuclein	https://pubmed.ncbi.nlm.nih.gov/12873148		12873148	Biochemistry	Journal Article,Research Support, Non-U.S. Gov't	2003-07-29T00:00:00Z	2003	A peptide motif consisting of glycine, alanine, and valine is required for the fibrillization and cytotoxicity of human alpha-synuclein.									
	Ronny Falk|Charlotta Agaton|Eva Kiesler|Shaobo Jin|Lars Wieslander|Neus Visa|Sophia Hober|Stefan Ståhl			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1042/BA20030091		668da6b6393fbc602a7f3f92	Animals|Antibodies|Antibody Formation|Chironomidae|Cloning, Molecular|Escherichia coli|Gene Expression Regulation, Bacterial|Protein Engineering|Proteomics|Recombinant Fusion Proteins	https://pubmed.ncbi.nlm.nih.gov/12875650		12875650	Biotechnology and applied biochemistry	Journal Article,Research Support, Non-U.S. Gov't	2003-12-01T00:00:00Z	2003	An improved dual-expression concept, generating high-quality antibodies for proteomics research.									
	Fernando Gil-Ortiz|Santiago Ramón-Maiques|Ignacio Fita|Vicente Rubio			0	Netherlands	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1016/s0022-2836(03)00716-2		668da6b6393fbc602a7f3f93	Adenosine Diphosphate|Aluminum Compounds|Crystallography, X-Ray|Escherichia coli Proteins|Fluorides|Glutamates|Models, Molecular|Molecular Structure|Phosphorus|Phosphorylation|Phosphotransferases (Carboxyl Group Acceptor)|Protein Binding|Sulfates	https://pubmed.ncbi.nlm.nih.gov/12875848		12875848	Journal of molecular biology	Journal Article,Research Support, Non-U.S. Gov't	2003-08-01T00:00:00Z	2003	The course of phosphorus in the reaction of N-acetyl-L-glutamate kinase, determined from the structures of crystalline complexes, including a complex with an AlF(4)(-) transition state mimic.									
