"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Cysteine Rich Intestinal Protein 2 is a copper-responsive regulator of skeletal muscle differentiation and metal homeostasis","Verdejo-Torres, Odette; Klein, David C.; Novoa-Aponte, Lorena; Carrazco-Carrillo, Jaime; Bonilla-Pinto, Denzel; Rivera, Antonio; Bakhshian, Arpie; Fitisemanu, Fa’alataitaua M.; Jiménez-González, Martha L.; Flinn, Lyra; Pezacki, Aidan T.; Lanzirotti, Antonio; Ortiz Frade, Luis Antonio; Chang, Christopher J.; Navea, Juan G.; Blaby-Haas, Crysten E.; Hainer, Sarah J.; Padilla-Benavides, Teresita","myoblasts; cell differentiation; muscle differentiation; gene expression; skeletal muscles; transcriptional control; gene regulation; insulin","Copper (Cu) is essential for respiration, neurotransmitter synthesis, oxidative stress response, and transcription regulation, with imbalances leading to neurological, cognitive, and muscular disorders. Here we show the role of a novel Cu-binding protein (Cu-BP) in mammalian transcriptional regulation, specifically on skeletal muscle differentiation using murine primary myoblasts. Utilizing synchrotron X-ray fluorescence-mass spectrometry, we identified murine cysteine-rich intestinal protein 2 (mCrip2) as a key Cu-BP abundant in both nuclear and cytosolic fractions. mCrip2 binds two to four Cu<sup>+</sup> ions with high affinity and presents limited redox potential. CRISPR/Cas9-mediated deletion of mCrip2 impaired myogenesis, likely due to Cu accumulation in cells. CUT&RUN and transcriptome analyses revealed its association with gene promoters, including MyoD1 and metallothioneins, suggesting a novel Cu-responsive regulatory role for mCrip2. Our work describes the significance of mCrip2 in skeletal muscle differentiation and metal homeostasis, expanding understanding of the Cu-network in myoblasts. Copper (Cu) is essential for various cellular processes, including respiration and stress response, but imbalances can cause serious health issues. This study reveals a new Cu-binding protein (Cu-BP) involved in muscle development in primary myoblasts. Using unbiased metalloproteomic techniques and high throughput sequencing, we identified mCrip2 as a key Cu-BP found in cell nuclei and cytoplasm. mCrip2 binds up to four Cu<sup>+</sup> ions and has a limited redox potential. Deleting mCrip2 using CRISPR/Cas9 disrupted muscle formation due to Cu accumulation. Further analyses showed that mCrip2 regulates the expression of genes like MyoD1, essential for muscle differentiation, and metallothioneins in response to copper supplementation. This research highlights the importance of mCrip2 in muscle development and metal homeostasis, providing new insights into the Cu-network in cells.","Public Library of Science","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States); Argonne National Laboratory (ANL), Argonne, IL (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER). Biological Systems Science (BSS); USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities (SUF)","","United States","2024-12-05T05:00:00Z","English","Journal Article","","Journal Name: PLoS Genetics; Journal Volume: 20; Journal Issue: 12","","Medium: ED; Size: Article No. e1011495","","","AC02-05CH11231; AC02-06CH11357","Journal ID: ISSN 1553-7404; ark:/13030/qt4zq636b9","10.1371/journal.pgen.1011495","","2025-01-13T05:00:00Z","2497770","https://www.osti.gov/biblio/2497770","https://www.osti.gov/servlets/purl/2497770","PLoS Genetics","12","20"
"ATM signaling modulates cohesin behavior in meiotic prophase and proliferating cells","Yu, Zhouliang; Kim, Hyung Jun; Dernburg, Abby F.","59 BASIC BIOLOGICAL SCIENCES; Biochemistry & Molecular Biology; Biophysics; Cell Biology","Cohesins are ancient and ubiquitous regulators of chromosome architecture and function, but their diverse roles and regulation remain poorly understood. During meiosis, chromosomes are reorganized as linear arrays of chromatin loops around a cohesin axis. This unique organization underlies homolog pairing, synapsis, double-stranded break induction, and recombination. We report that axis assembly in Caenorhabditis elegans is promoted by DNA-damage response (DDR) kinases that are activated at meiotic entry, even in the absence of DNA breaks. Downregulation of the cohesin-destabilizing factor WAPL-1 by ATM-1 promotes axis association of cohesins containing the meiotic kleisins COH-3 and COH-4. ECO-1 and PDS-5 also contribute to stabilizing axis-associated meiotic cohesins. Further, our data suggest that cohesin-enriched domains that promote DNA repair in mammalian cells also depend on WAPL inhibition by ATM. Thus, DDR and Wapl seem to play conserved roles in cohesin regulation in meiotic prophase and proliferating cells.","Nature Publishing Group","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)","USDOE; National Institutes of Health (NIH)","","United States","2023-03-06T05:00:00Z","English","Journal Article","","Journal Name: Nature Structural & Molecular Biology; Journal Volume: 30; Journal Issue: 4","","Medium: ED; Size: p. 436-450","","","AC02-05CH11231; R01 GM065591","Journal ID: ISSN 1545-9993; PII: 929","10.1038/s41594-023-00929-5","","2025-04-07T04:00:00Z","2470954","https://www.osti.gov/biblio/2470954","https://www.osti.gov/servlets/purl/2470954","Nature Structural & Molecular Biology","4","30"
"Structures of the TMC-1 complex illuminate mechanosensory transduction","Jeong, Hanbin; Clark, Sarah; Goehring, April; Dehghani-Ghahnaviyeh, Sepehr; Rasouli, Ali; Tajkhorshid, Emad; Gouaux, Eric","59 BASIC BIOLOGICAL SCIENCES; Science & Technology; Electron microscopy; Neuroscience","The initial step in the sensory transduction pathway underpinning hearing and balance in mammals involves the conversion of force into the gating of a mechanosensory transduction channel1. Despite the profound socioeconomic impacts of hearing disorders and the fundamental biological significance of understanding mechanosensory transduction, the composition, structure and mechanism of the mechanosensory transduction complex have remained poorly characterized. Here we report the single-particle cryo-electron microscopy structure of the native transmembrane channel-like protein 1 (TMC-1) mechanosensory transduction complex isolated from Caenorhabditis elegans. The two-fold symmetric complex is composed of two copies each of the pore-forming TMC-1 subunit, the calcium-binding protein CALM-1 and the transmembrane inner ear protein TMIE. CALM-1 makes extensive contacts with the cytoplasmic face of the TMC-1 subunits, whereas the single-pass TMIE subunits reside on the periphery of the complex, poised like the handles of an accordion. A subset of complexes additionally includes a single arrestin-like protein, arrestin domain protein (ARRD-6), bound to a CALM-1 subunit. Single-particle reconstructions and molecular dynamics simulations show how the mechanosensory transduction complex deforms the membrane bilayer and suggest crucial roles for lipid–protein interactions in the mechanism by which mechanical force is transduced to ion channel gating.","Nature Publishing Group","","Pacific Northwest National Laboratory (PNNL), Richland, WA (United States). Environmental Molecular Sciences Laboratory (EMSL)","USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities (SUF); USDOE Office of Science (SC), Biological and Environmental Research (BER); National Institutes of Health (NIH); Pittsburgh Supercomputing Center; National Science Foundation Supercomputing Centers","","United States","2022-10-12T04:00:00Z","English","Journal Article","","Journal Name: Nature (London); Journal Volume: 610; Journal Issue: 7933","","Medium: ED; Size: p. 796-803","","","AC05-76RL01830; U24GM129547; MCB100017P; MCA06N060; P41-GM104601; R01-GM123455; 1F32DC017894; P30EY010572; P30CA069533","Journal ID: ISSN 0028-0836; PII: 5314","10.1038/s41586-022-05314-8","","2025-01-28T05:00:00Z","2424196","https://www.osti.gov/biblio/2424196","https://www.osti.gov/servlets/purl/2424196","Nature (London)","7933","610"
"Mixed and membrane-separated culturing of synthetic cyanobacteria-yeast consortia reveals metabolic cross-talk mimicking natural cyanolichens","Bohutskyi, Pavlo; Pomraning, Kyle R.; Jenkins, Jackson P.; Kim, Young-Mo; Poirier, Brenton C.; Betenbaugh, Michael J.; Magnuson, Jon K.","59 BASIC BIOLOGICAL SCIENCES; Synthetic lichen; Microbial community; Membrane-separated bioreactor; Metabolite exchange; Phototroph-heterotroph co-culture; Cross-feeding; Microbial communities; Microbial ecology","Metabolite exchange mediates crucial interactions in microbial communities, significantly impacting global carbon and nitrogen cycling. Understanding these chemically-mediated interactions is essential for elucidating natural community functions and developing engineered synthetic communities. This study investigated membrane-separated bioreactors (mBRs) as a novel tool to identify transient metabolites and their producers/consumers in mixed microbial communities. We compared three co-culture methods (direct mixed, 2-chamber mBR, and 3-chamber mBR) to grow a synthetic binary community of the cyanobacterium Synechococcus elongatus PCC 7942 and the fungus Rhodotorula toruloides NBRC 0880, as well as axenic S. elongatus. Despite not being natural lichen constituents, these organisms exhibited interactions resembling those in cyanolichens. S. elongatus fixed CO<sub>2</sub> into sugars as the primary shared metabolite, while R. toruloides secreted various biochemicals, predominantly sugar alcohols, mirroring the metabolite exchange observed in natural lichens. The mBR systems successfully captured metabolite gradients and revealed rapidly consumed compounds, including TCA cycle intermediates and amino acids. Our approach demonstrated that the 2-chamber mBR optimally balanced metabolite exchange and growth dynamics. This study provides insights into cross-species metabolic interactions and presents a valuable tool for investigating and engineering synthetic microbial communities with potential applications in biotechnology and environmental science.","Nature Publishing Group","","Johns Hopkins University, Baltimore, MD (United States); Pacific Northwest National Laboratory (PNNL), Richland, WA (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); USDOE Laboratory Directed Research and Development (LDRD) Program","","United States","2024-10-25T04:00:00Z","English","Journal Article","","Journal Name: Scientific Reports; Journal Volume: 14; Journal Issue: 1","","Medium: ED; Size: Article No. 25303","","PNNL-SA-182988","SC0019388; AC05-76RL01830","Journal ID: ISSN 2045-2322","10.1038/s41598-024-74743-4","","2025-01-06T05:00:00Z","2476534","https://www.osti.gov/biblio/2476534","https://www.osti.gov/servlets/purl/2476534","Scientific Reports","1","14"
"Mechanistic and structural studies reveal NRAP-1-dependent coincident activation of NMDARs","Goodell, Dayton J.; Whitby, Frank G.; Mellem, Jerry E.; Lei, Ning; Brockie, Penelope J.; Maricq, Aleksander J.; Eckert, Debra M.; Hill, Christopher P.; Madsen, David M.; Maricq, Andres V. (ORCID:0000000232496747)","","","Elsevier","","","USDOE Office of Science (SC), Biological and Environmental Research (BER); USDOE Office of Science (SC), Basic Energy Sciences (BES)","","Netherlands","2024-02-01T05:00:00Z","English","Journal Article","","Journal Name: Cell Reports Journal Volume: 43 Journal Issue: 2","","Medium: X; Size: Article No. 113694","","","AC02-76SF00515","Journal ID: ISSN 2211-1247; S2211124724000226; 113694; PII: S2211124724000226","10.1016/j.celrep.2024.113694","","2024-01-30T05:00:00Z","2282383","https://www.osti.gov/biblio/2282383","","Cell Reports","2","43"
"AtDGCR14L contributes to salt-stress tolerance via regulating pre-mRNA splicing in Arabidopsis","Xie, Meng; Tadesse, Dimiru; Zhang, Jin; Yao, Tao; Zhang, Li; Jawdy, Sara S.; Devireddy, Amith; Zheng, Kaijie; Smith, Emily B.; Morrell‐Falvey, Jennifer; Pan, Chongle; Chen, Feng; Tuskan, Gerald A.; Muchero, Wellington; Chen, Jin‐Gui","59; Salt stress; alternative splicing; functional motif; DGCR14; chromatin-remodeling complex; Arabidopsis 43 thaliana","In plants, the pre-mRNA alternative splicing has been demonstrated to be a crucial tier that regulates gene expression in response to salt stress. However, the underlying mechanisms remain elusive. Here, in this study, we studied the roles of DIGEORGE-SYNDROME CRITICAL REGION 14-like (AtDGCR14L) in regulating pre-mRNA splicing and salt stress tolerance. We discovered that Arabidopsis AtDGCR14L is required for maintaining plant salt stress tolerance and the constitutively spliced and active isoforms of important stress- and/or abscisic acid (ABA)-responsive genes. We also identified the interaction between AtDGCR14L and splicing factor U1-70k, which needs a highly conserved three amino acid (TWG) motif in DGCR14. Different from wild-type AtDGCR14L, the overexpression of TWG-substituted AtDGCR14L mutant did not change salt stress tolerance or pre-mRNA splicing of stress/ABA-responsive genes. Additionally, SWITCH3A (SWI3A) is a core subunit of the SWI/SUCROSE NONFERMENTING (SWI/SNF) chromatin-remodeling complexes. We found that SWI3A, whose splicing depends on AtDGCR14L, actively enhances salt stress tolerance. These results revealed that AtDGCR14L may play an essential role in crosstalk between plant salt-stress response and pre-mRNA splicing mechanisms. We also unveiled the potential role of SWI3A in controlling salt stress tolerance. The TWG motif in the intrinsically disordered region of AtDGCR14L is highly conserved and crucial for DGCR14 functions.","","","Brookhaven National Laboratory (BNL), Upton, NY (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER)","","United States","2024-11-10T00:00:00Z","English","Journal Article","","","","","","BNL--226330-2024-JAAM","SC0012704","","10.1111/tpj.17136","","2025-05-20T22:07:01Z","2478428","https://www.osti.gov/biblio/2478428","https://www.osti.gov/servlets/purl/2478428","The Plant Journal","6","120"
"Mycorrhiza‐induced mycocypins of <i>Laccaria bicolor<\/i> are potent protease inhibitors with nematotoxic and collembola antifeedant activity","Plett, Jonathan M.; Sabotič, Jerica; Vogt, Eva; Snijders, Fridtjof; Kohler, Annegret; Nielsen, Uffe N.; Künzler, Markus; Martin, Francis; Veneault‐Fourrey, Claire","59 BASIC BIOLOGICAL SCIENCES; Microbiology","Fungivory of mycorrhizal hyphae has a significant impact on fungal fitness and, by extension, on nutrient transfer between fungi and host plants in natural ecosystems. Mycorrhizal fungi have therefore evolved an arsenal of chemical compounds that are hypothesized to protect the hyphal tissues from being eaten, such as the protease inhibitors mycocypins. The genome of the ectomycorrhizal fungus Laccaria bicolor has an unusually high number of mycocypin-encoding genes. We have characterized the evolution of this class of proteins, identified those induced by symbiosis with a host plant and characterized the biochemical properties of two upregulated L. bicolor mycocypins. More than half of L. bicolor mycocypin-encoding genes are differentially expressed during symbiosis or fruiting body formation. We show that two L. bicolor mycocypins that are strongly induced during symbiosis are cysteine protease inhibitors and exhibit similar but distinct localization in fungal tissues at different developmental stages and during interaction with a host plant. Moreover, we show that these L. bicolor mycocypins have toxic and feeding deterrent effect on nematodes and collembolans, respectively. Therefore, L. bicolor mycocypins may be part of a mechanism by which this species deters grazing by different members of the soil food web.","Wiley","","Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); Australian Research Council (ARC); Swiss National Science Foundation (SNSF); Slovenian Research Agency","","United States","2022-07-11T04:00:00Z","English","Journal Article","","Journal Name: Environmental Microbiology; Journal Volume: 24; Journal Issue: 10","","Medium: ED; Size: p. 4607-4622","","","AC05-00OR22725; DE150100408; 31003A_173097; P4-0127; P4-0432","Journal ID: ISSN 1462-2912","10.1111/1462-2920.16115","","2025-01-27T05:00:00Z","2423970","https://www.osti.gov/biblio/2423970","https://www.osti.gov/servlets/purl/2423970","Environmental Microbiology","10","24"
"Arsenic Exposure Causes Global Changes in the Metalloproteome of <em>Escherichia coli<\/em>","Larson, James; Tokmina-Lukaszewska, Monika; Fausset, Hunter; Spurzem, Scott; Cox, Savannah; Cooper, Gwendolyn; Copié, Valérie; Bothner, Brian","59 BASIC BIOLOGICAL SCIENCES; microbiology; arsenic; iron; zinc; copper; magnesium; Escherichia coli; metalloproteome; inductively coupled plasma mass spectrometry","Arsenic is a toxic metalloid with differential biological effects, depending on speciation and concentration. Trivalent arsenic (arsenite, As<sup>III</sup>) is more toxic at lower concentrations than the pentavalent form (arsenate, As<sup>V</sup>). In E. coli, the proteins encoded by the arsRBC operon are the major arsenic detoxification mechanism. Our previous transcriptional analyses indicate broad changes in metal uptake and regulation upon arsenic exposure. Currently, it is not known how arsenic exposure impacts the cellular distribution of other metals. This study examines the metalloproteome of E. coli strains with and without the arsRBC operon in response to sublethal doses of As<sup>III</sup> and As<sup>V</sup>. Size exclusion chromatography coupled with inductively coupled plasma mass spectrometry (SEC-ICPMS) was used to investigate the distribution of five metals (<sup>56</sup>Fe, <sup>24</sup>Mg, <sup>66</sup>Zn, <sup>75</sup>As, and <sup>63</sup>Cu) in proteins and protein complexes under native conditions. Parallel analysis by SEC-UV-Vis spectroscopy monitored the presence of protein cofactors. Together, these data reveal global changes in the metalloproteome, proteome, protein cofactors, and soluble intracellular metal pools in response to arsenic stress in E. coli. This work brings to light one outcome of metal exposure and suggests that metal toxicity on the cellular level arises from direct and indirect effects.","MDPI","","Montana State Univ., Bozeman, MT (United States)","USDOE Office of Science (SC), Basic Energy Sciences (BES); National Science Foundation (NSF); National Institutes of Health (NIH); USDOE","","United States","2023-02-02T05:00:00Z","English","Journal Article","","Journal Name: Microorganisms; Journal Volume: 11; Journal Issue: 2","","Medium: ED; Size: Article No. 382","","","SC0020246; MCB-1714556; P20GM103474; S10OD28650; DESC0020246","Journal ID: ISSN 2076-2607; PII: microorganisms11020382","10.3390/microorganisms11020382","","2025-05-07T04:00:00Z","1923427","https://www.osti.gov/biblio/1923427","","Microorganisms","2","11"
"Workflow for High-throughput Screening of Enzyme Mutant Libraries Using Matrix-assisted Laser Desorption/Ionization Mass Spectrometry Analysis of <em>Escherichia coli<\/em> Colonies","Choe, Kisurb; Sweedler, Jonathan","59 BASIC BIOLOGICAL SCIENCES; screening; protein engineering; mass spectrometry; microbial colonies; MALDI-MS","High-throughput molecular screening of microbial colonies and DNA libraries are critical procedures that enable applications such as directed evolution, functional genomics, microbial identification, and creation of engineered microbial strains to produce high-value molecules. A promising chemical screening approach is the measurement of products directly from microbial colonies via optically guided matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS). Measuring the compounds from microbial colonies bypasses liquid culture with a screen that takes approximately 5 s per sample. We describe a protocol combining a dedicated informatics pipeline and sample preparation method that can prepare up to 3,000 colonies in under 3 h. The screening protocol starts from colonies grown on Petri dishes and then transferred onto MALDI plates via imprinting. The target plate with the colonies is imaged by a flatbed scanner and the colonies are located via custom software. The target plate is coated with MALDI matrix, MALDI-MS analyzes the colony locations, and data analysis enables the determination of colonies with the desired biochemical properties. This workflow screens thousands of colonies per day without requiring additional automation. The wide chemical coverage and the high sensitivity of MALDI-MS enable diverse screening projects such as modifying enzymes and functional genomics surveys of gene activation/inhibition libraries.","Bio-protocol LLC","","Univ. of Illinois at Urbana-Champaign, IL (United States); Center for Advanced Bioenergy and Bioproducts Innovation (CABBI), Urbana, IL (United States)","USDOE Office of Science (SC), Biological and Environmental Research (BER); National Institute on Drug Abuse","","United States","2023-11-05T04:00:00Z","English","Journal Article","","Journal Name: Bio-Protocol; Journal Volume: 13; Journal Issue: 21","","Medium: ED; Size: Article No. e4862","","","SC0018420; P30 DA018310","Journal ID: ISSN 2331-8325","10.21769/bioprotoc.4862","","2024-04-09T04:00:00Z","2309737","https://www.osti.gov/biblio/2309737","https://www.osti.gov/servlets/purl/2309737","Bio-Protocol","21","13"
"Site-specific acetylation of polynucleotide kinase 3'-phosphatase regulates its distinct role in DNA repair pathways","Islam, Azharul; Chakraborty, Anirban; Sarker, Altaf H.; Aryal, Uma K.; Pan, Lang; Sharma, Gulshan; Boldogh, Istvan; Hazra, Tapas","59 BASIC BIOLOGICAL SCIENCES; Biochemistry & Molecular Biology","Mammalian polynucleotide kinase 3'-phosphatase (PNKP), a DNA end-processing enzyme with 3'-phosphatase and 5'-kinase activities, is involved in multiple DNA repair pathways, including base excision (BER), single-strand break (SSBR), and double-strand break repair (DSBR). However, little is known as to how PNKP functions in such diverse repair processes. Here we report that PNKP is acetylated at K142 (AcK142) by p300 constitutively but at K226 (AcK226) by CBP, only after DSB induction. Co-immunoprecipitation analysis using AcK142 or AcK226 PNKP-specific antibodies showed that AcK142-PNKP associates only with BER/SSBR, and AcK226 PNKP with DSBR proteins. Despite the modest effect of acetylation on PNKP’s enzymatic activity in vitro, cells expressing non-acetylable PNKP (K142R or K226R) accumulated DNA damage in transcribed genes. Intriguingly, in striatal neuronal cells of a Huntington's Disease (HD)-based mouse model, K142, but not K226, was acetylated. This is consistent with the reported degradation of CBP, but not p300, in HD cells. Moreover, transcribed genomes of HD cells progressively accumulated DSBs. Chromatin-immunoprecipitation analysis demonstrated the association of Ac-PNKP with the transcribed genes, consistent with PNKP’s role in transcription-coupled repair. Thus, our findings demonstrate that acetylation at two lysine residues, located in different domains of PNKP, regulates its distinct role in BER/SSBR versus DSBR.","Oxford University Press","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)","USDOE","","United States","2024-01-15T05:00:00Z","English","Journal Article","","Journal Name: Nucleic Acids Research; Journal Volume: 52; Journal Issue: 5","","Medium: ED; Size: p. 2416-2433","","","AC02-05CH11231","Journal ID: ISSN 0305-1048","10.1093/nar/gkae002","","2025-03-27T04:00:00Z","2470684","https://www.osti.gov/biblio/2470684","https://www.osti.gov/servlets/purl/2470684","Nucleic Acids Research","5","52"
"A Comprehensive Overview of Postbiotics with a Special Focus on Discovery Techniques and Clinical Applications","Kumar, Anand; Green, Katelyn Mary; Rawat, Manmeet","60 APPLIED LIFE SCIENCES; postbiotics; microbial metabolomics; discovery; approaches; challenges; clinical application; ongoing trials; biological science","The increasing interest in postbiotics, a term gaining recognition alongside probiotics and prebiotics, aligns with a growing number of clinical trials demonstrating positive outcomes for specific conditions. Postbiotics present several advantages, including safety, extended shelf life, ease of administration, absence of risk, and patentability, making them more appealing than probiotics alone. This review covers various aspects, starting with an introduction, terminology, classification of postbiotics, and brief mechanisms of action. It emphasizes microbial metabolomics as the initial step in discovering novel postbiotics. Commonly employed techniques such as NMR, GC-MS, and LC-MS are briefly outlined, along with their application principles and limitations in microbial metabolomics. The review also examines existing research where these techniques were used to identify, isolate, and characterize postbiotics derived from different microbial sources. The discovery section concludes by highlighting challenges and future directions to enhance postbiotic discovery. In the second half of the review, we delve deeper into numerous published postbiotic clinical trials to date. We provide brief overviews of system-specific trial applications, their objectives, the postbiotics tested, and their outcomes. The review concludes by highlighting ongoing applications of postbiotics in extended clinical trials, offering a comprehensive overview of the current landscape in this evolving field.","MDPI","","Los Alamos National Laboratory (LANL), Los Alamos, NM (United States)","USDOE Laboratory Directed Research and Development (LDRD) Program; USDOE National Nuclear Security Administration (NNSA)","","United States","2024-09-17T04:00:00Z","English","Journal Article","","Journal Name: Foods; Journal Volume: 13; Journal Issue: 18","","Medium: ED; Size: Article No. 2937","","LA-UR-24-29093; LA-UR-24-32957","89233218CNA000001","Journal ID: ISSN 2304-8158","10.3390/foods13182937","","2025-04-21T04:00:00Z","2446971","https://www.osti.gov/biblio/2446971","https://www.osti.gov/servlets/purl/2446971","Foods","18","13"
"Structural insights into subunit-dependent functional regulation in epithelial sodium channels","Houser, Alexandra; Baconguis, Isabelle (ORCID:0000000254402289)","","","Elsevier","","","USDOE Office of Science (SC), Biological and Environmental Research (BER)","","United Kingdom","2025-02-01T05:00:00Z","English","Journal Article","","Journal Name: Structure Journal Volume: 33 Journal Issue: 2","","Medium: X; Size: p. 349-362.e4","","","","Journal ID: ISSN 0969-2126; S0969212624005264; PII: S0969212624005264","10.1016/j.str.2024.11.013","","2025-02-11T05:00:00Z","2513529","https://www.osti.gov/biblio/2513529","","Structure","2","33"
"Next-generation large-scale binary protein interaction network for <em>Drosophila melanogaster<\/em>","Tang, Hong-Wen; Spirohn, Kerstin; Hu, Yanhui; Hao, Tong; Kovács, István A.; Gao, Yue; Binari, Richard; Yang-Zhou, Donghui; Wan, Kenneth H.; Bader, Joel S.; Balcha, Dawit; Bian, Wenting; Booth, Benjamin W.; Coté, Atina G.; de Rouck, Steffi; Desbuleux, Alice; Goh, Kah Yong; Kim, Dae-Kyum; Knapp, Jennifer J.; Lee, Wen Xing; Lemmens, Irma; Li, Cathleen; Li, Mian; Li, Roujia; Lim, Hyobin Julianne; Liu, Yifang; Luck, Katja; Markey, Dylan; Pollis, Carl; Rangarajan, Sudharshan; Rodiger, Jonathan; Schlabach, Sadie; Shen, Yun; Sheykhkarimli, Dayag; TeeKing, Bridget; Roth, Frederick P.; Tavernier, Jan; Calderwood, Michael A.; Hill, David E.; Celniker, Susan E.; Vidal, Marc; Perrimon, Norbert; Mohr, Stephanie E.","59 BASIC BIOLOGICAL SCIENCES; Science & Technology - Other Topics","Generating reference maps of interactome networks illuminates genetic studies by providing a protein-centric approach to finding new components of existing pathways, complexes, and processes. We apply state-of-the-art methods to identify binary protein-protein interactions (PPIs) for Drosophila melanogaster. Four all-by-all yeast two-hybrid (Y2H) screens of > 10,000 Drosophila proteins result in the ‘FlyBi’ dataset of 8723 PPIs among 2939 proteins. Testing subsets of data from FlyBi and previous PPI studies using an orthogonal assay allows for normalization of data quality; subsequent integration of FlyBi and previous data results in an expanded binary Drosophila reference interaction network, DroRI, comprising 17,232 interactions among 6511 proteins. We use FlyBi data to generate an autophagy network, then validate in vivo using autophagy-related assays. The deformed wings (dwg) gene encodes a protein that is both a regulator and a target of autophagy. Altogether, these resources provide a foundation for building new hypotheses regarding protein networks and function.","Nature Publishing Group","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States)","USDOE; National Institutes of Health (NIH); NMRC Open Fund Individual Research (OF-IRG)","","United States","2023-04-15T04:00:00Z","English","Journal Article","","Journal Name: Nature Communications; Journal Volume: 14; Journal Issue: 1","","Medium: ED; Size: Article No. 2162","","","AC02-05CH11231; 5R01HG007118; 5R01AR057352; OFIRG22jul-0007","Journal ID: ISSN 2041-1723; PII: 37876","10.1038/s41467-023-37876-0","","2025-04-07T04:00:00Z","2470950","https://www.osti.gov/biblio/2470950","https://www.osti.gov/servlets/purl/2470950","Nature Communications","1","14"
"Dinickel enzyme evolved to metabolize the pharmaceutical metformin and its implications for wastewater and human microbiomes","Tassoulas, Lambros J.; Rankin, Joel A.; Elias, Mikael H.; Wackett, Lawrence P.","59 BASIC BIOLOGICAL SCIENCES; science & technology; metformin; biodegradation; human gut microbiome; metallohydrolase; nickel; biological sciences; biochemistry","Metformin is the first-line treatment for type II diabetes patients and a pervasive pollutant with more than 180 million kg ingested globally and entering wastewater. The drug’s direct mode of action is currently unknown but is linked to effects on gut microbiomes and may involve specific gut microbial reactions to the drug. In wastewater treatment plants, metformin is known to be transformed by microbes to guanylurea, although genes encoding this metabolism had not been elucidated. In the present study, we revealed the function of two genes responsible for metformin decomposition (mfmA and mfmB) found in isolated bacteria from activated sludge. MfmA and MfmB form an active heterocomplex (MfmAB) and are members of the ureohydrolase protein superfamily with binuclear metal-dependent activity. MfmAB is nickel-dependent and catalyzes the hydrolysis of metformin to dimethylamine and guanylurea with a catalytic efficiency (k<sub>cat</sub>/K<sub>M</sub>) of 9.6 × 10<sup>3</sup> M<sup>-1</sup>s<sup>-1</sup> and KM for metformin of 0.82 mM. MfmAB shows preferential activity for metformin, being able to discriminate other close substrates by several orders of magnitude. Crystal structures of MfmAB show coordination of binuclear nickel bound in the active site of the MfmA subunit but not MfmB subunits, indicating that MfmA is the active site for the MfmAB complex. Mutagenesis of residues conserved in the MfmA active site revealed those critical to metformin hydrolase activity and its small substrate binding pocket allowed for modeling of bound metformin. In conclusion, this study characterizes the products of the mfmAB genes identified in wastewater treatment plants on three continents, suggesting that metformin hydrolase is widespread globally in wastewater.","National Academy of Sciences","","Argonne National Laboratory (ANL), Argonne, IL (United States). Advanced Photon Source (APS)","USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities (SUF); National Science Foundation (NSF)","","United States","2024-02-26T05:00:00Z","English","Journal Article","","Journal Name: Proceedings of the National Academy of Sciences of the United States of America; Journal Volume: 121; Journal Issue: 10","","Medium: ED; Size: Article No. e2312652121","","","AC02-06CH11357; 2203750","Journal ID: ISSN 0027-8424","10.1073/pnas.2312652121","","2025-03-18T04:00:00Z","2470223","https://www.osti.gov/biblio/2470223","https://www.osti.gov/servlets/purl/2470223","Proceedings of the National Academy of Sciences of the United States of America","10","121"
