Gene	Synonyms
FBgn0042710	Hex-t2
FBgn0038569	CG7218
FBgn0039585	CG1894
FBgn0278597	CR46267
FBti0063917	X
FBti0063829	jockey
FBgn0026190	PH4alphaMP
FBgn0037923	CG6813
FBti0019401	F
FBgn0040609	CG3348
FBgn0039536	unc80
FBgn0037623	CG9801
FBgn0039555	mRpS22
FBgn0039395	CG14546
RR48388_transposable_element	rover; RR48388
FBgn0037556	CG9636
FBgn0267775	CR46106
FBgn0267105	CG45545
FBgn0011971	Ser-GCT-2-2
FBgn0267788	CR46119
RR48349_transposable_element	McClintock; RR48349
FBti0061545	INE-1
FBgn0004777	Ccp84Ag
FBgn0038642	Muc91C
FBgn0039733	CG11504
FBgn0037475	Fer1
FBgn0038803	CG5191
FBgn0051281	Tpl94D
FBgn0037807	CG6293
FBgn0266414	CR45054
FBti0063868	X
FBgn0011581	Ms
FBgn0038492	Mur89F
FBgn0038646	CG7715
FBgn0264831	CR44039
FBgn0039234	Nct
FBti0059754	Dm88
FBgn0037468	CG1943
FBgn0261004	asl
FBgn0038627	CG7694
FBgn0039731	Sas-6
FBgn0267563	CR45903
FBgn0038719	CG16727
FBgn0037656	CG11986
FBgn0015790	Rab11
FBgn0085433	CG34404
FBgn0046887	Gr98b
FBgn0266534	CG45095
FBgn0037235	CG1103
FBgn0038674	CG14285
FBgn0038186	CG14362
FBgn0266227	CR44922
FBgn0039651	Cyt-c1L
FBgn0037728	p23
FBgn0051282	Thr-AGT-1-4
FBti0061835	G6
FBti0063256	G4
FBgn0267812	CR46137
FBgn0022359	Sodh2
FBgn0051570	Ala-AGC-2-2
FBgn0038929	CG13408
FBgn0037415	Osi8
FBti0061863	INE-1
FBgn0267204	CR45644
FBgn0027493	Adss
FBgn0051108	TTLL5
FBti0061925	INE-1
FBgn0040588	CG13841
FBgn0038345	maca
FBgn0041188	Atx2
FBgn0261641	CG42724
FBgn0086679	p
FBgn0051080	TwdlH
FBgn0037780	ohgt
FBgn0037396	CtsL3
FBgn0037910	CG14708
FBgn0040682	CG14664
FBgn0039727	Vps13B
FBti0059785	INE-1
FBgn0038976	Pfdn5
FBgn0038903	Polr1H
FBgn0039381	SppL
FBti0020352	invader1
FBgn0286516	aqz
FBgn0021750	SerRS-m
FBgn0267698	Pak
FBgn0039374	CG17770
FBgn0038273	CG14860
FBgn0037477	CG14610
FBgn0037283	CG14658
FBti0063146	G5
FBgn0039869	Tbca
FBgn0051253	CG31253
FBgn0038593	Vps39
FBgn0287598	CG46467
FBgn0261984	Ire1
FBgn0266388	CR45028
FBgn0002734	E(spl)mdelta-HLH
FBgn0038261	CG14856
FBgn0037783	Npc2c
FBgn0262903	CR43258
FBti0059666	HB
FBgn0038481	CG17475
FBti0019321	Doc
FBti0059876	INE-1
FBgn0051475	myd
FBgn0027934	alpha-Est4aPsi
FBgn0038202	CG12402
FBgn0047199	CG31517
FBgn0266409	CG45049
FBgn0267770	CR46101
FBgn0053341	CG33341
FBgn0038420	CG10311
FBgn0259233	CG42331
FBgn0039019	HP1c
FBti0020298	HB
FBgn0283499	InR
FBgn0039486	CAH9
FBgn0262897	CR43252
FBgn0038214	CG9616
FBgn0040529	COX7A
FBti0061578	baggins
FBgn0262537	CG43091
FBgn0005777	PpD3
FBgn0065099	7SKa
FBgn0259821	CG42402
FBgn0266237	CR44932
FBgn0039293	Alg9
FBgn0039207	Cftr
FBgn0039344	CG4582
FBti0059725	Dm88
FBgn0053333	CG33333
FBti0063792	INE-1
FBgn0037428	Osi18
FBgn0051533	CG31533
FBgn0028670	Vha100-2
FBgn0038927	CG6015
FBgn0039070	wam
FBgn0038860	Ice2
FBgn0038156	side-IV
FBgn0267745	CR46076
FBgn0264871	CR44062
FBgn0265318	CR44291
FBgn0051506	Leu-TAA-1-1
FBgn0085302	CG34273
FBgn0037817	Cyp12e1
FBgn0038319	mRpL9
FBti0061678	INE-1
FBti0062076	INE-1
FBgn0039132	AP-1sigma
FBgn0002413	dco
FBgn0038301	CG6654
FBgn0259990	CG42487
FBgn0004110	tin
FBgn0267560	CR45900
FBgn0039532	Mtl
FBgn0038947	Sar1
FBgn0003889	betaTub85D
FBgn0044826	Pak3
FBti0062622	gtwin
FBgn0037385	glob3
FBgn0051467	CG31467
FBgn0267569	CR45909
FBgn0267994	CR46261
FBgn0039452	CG14245
FBgn0037231	Vps24
FBgn0285911	Vps16A
FBgn0263588	CR43613
FBgn0037992	CG4702
FBgn0042104	CG18747
FBgn0267564	CR45904
FBgn0039581	Moca-cyp
FBgn0039115	CG10214
FBgn0052945	CG32945
FBgn0262483	Rbp
FBgn0013767	Crz
FBgn0267708	CR46041
FBgn0266226	CR44921
FBgn0038065	Snx3
FBgn0038539	Atg8b
FBgn0038704	Aptx
FBti0020317	springer
FBgn0259194	Ir94e
FBgn0037637	IscU
FBgn0038148	CG14377
FBgn0265162	CR44231
FBgn0038460	CG18622
FBti0063897	INE-1
FBgn0011481	Ssdp
FBgn0260634	eIF4G2
FBgn0039313	CG11892
FBgn0266674	Sec15
FBgn0051416	Asp-GTC-3-1
FBgn0037892	mRpL40
FBgn0037884	Arfip
RR48319_transposable_element	opus; RR48319
FBgn0039261	Ythdf
FBti0019469	copia
FBti0019435	roo
FBgn0039104	CG10252
FBgn0038070	CG6753
FBgn0264426	CG43844
FBgn0038590	CG12320
FBgn0286042	CR46364
FBgn0039625	beta4GalNAcTB
FBgn0038617	Wdr37
FBgn0037942	CG14721
FBgn0263622	CR43631
FBgn0038626	CG7691
FBti0064266	INE-1
FBgn0266455	CG45080
FBgn0038959	CG13856
FBti0062486	INE-1
FBgn0264991	CG44142
FBti0019366	mdg3
FBti0063752	INE-1
FBti0062387	Cr1a
FBti0019436	roo
FBgn0020912	Ptx1
FBti0215294	FB
FBgn0039443	TwdlS
FBgn0038371	Pbp45
FBgn0040582	BomBc3
FBgn0038356	CG12784
FBgn0038128	Ravus
FBgn0284232	CG46316
FBgn0039467	CG14253
FBgn0265419	CR44331
FBgn0038466	CG8907
FBgn0038436	Gyc89Db
FBgn0263351	AP-2mu
FBgn0039054	Cow
FBgn0267203	CR45643
FBgn0039116	CG10375
FBti0019351	I; Sirt6-iso-1a
FBgn0039584	beat-VI
FBgn0051220	CG31220
FBgn0264785	Hph
FBgn0250910	Octbeta3R
FBgn0037220	CG14641
FBti0061577	gypsy
FBgn0000723	FER
FBgn0263346	smash
FBgn0267574	CR45914
FBgn0015778	rin
FBgn0038588	CG7156
FBgn0037973	CG18547
FBgn0008651	lbl
FBgn0038318	CG6236
FBgn0267148	CR45588
FBgn0267672	CR46008
FBgn0263453	CR43476
FBgn0039808	CG12071
FBgn0039145	CG6000
FBgn0003060	CG9757
FBgn0267705	CR46038
FBgn0004903	Rb97D
FBgn0051296	CG31296
FBgn0266258	CR44953
FBti0060305	INE-1
FBgn0263411	CR43457
FBgn0267448	CR45798
FBti0060429	H
FBgn0037388	CG14676
FBgn0263403	CG43449
FBgn0027608	CG2082
FBgn0037879	scpr-C
FBgn0051560	CG31560
FBgn0038950	CG5382
FBgn0265550	CR44400
FBti0059879	INE-1
FBgn0065098	RNA
FBgn0284417	TS20
FBti0061730	INE-1
FBgn0019925	Surf4
FBgn0039537	Hsdl2
FBgn0262974	CR43285
FBti0062877	FB
FBgn0051525	CG31525
FBgn0037514	CG10919
FBgn0015591	AstA
FBti0063114	INE-1
FBgn0250823	gish
FBgn0262992	CR43300
FBgn0037518	CG2641
FBti0062082	INE-1
FBgn0004510	Ets97D
FBgn0039239	Srg1
FBti0062137	invader4
FBti0061963	S
FBti0060455	INE-1
FBgn0266415	CR45055
FBgn0038678	mRpL55
FBgn0261286	Mat89Ba
FBgn0013972	Gycalpha99B
FBgn0051579	Ala-AGC-2-7
FBti0061860	INE-1
FBgn0042182	CG18749
FBgn0038454	CG10324
FBgn0039249	CG11168
FBti0019294	S
FBgn0266251	CR44946
FBgn0019952	Orct
FBgn0045862	btz
FBgn0039272	CG11836
FBgn0039644	rdog
FBgn0037988	CG14740
FBgn0038579	CG14313
FBgn0037218	aux
FBgn0039241	CG11089
FBti0215352	Rt1b
FBgn0264075	tgo
FBgn0266390	CR45030
FBti0019316	X
FBgn0039270	PQBP1
FBgn0038219	CG14839
FBgn0015625	CycB3
FBgn0037625	CG11768
FBgn0051116	ClC-a
FBgn0020238	14-3-3epsilon
FBgn0037239	Sfxn1-3
FBgn0038089	d-cup
FBti0215371	Tom1
FBti0059750	Dm88
FBgn0011596	fzo
FBgn0038515	CG5823
FBgn0037956	CG6959
FBgn0039151	CG13607
FBgn0051077	CG31077
FBti0062170	Burdock
FBgn0037897	Sptz
FBgn0046875	Obp83g
FBgn0002431	hyd
FBgn0037375	kat-60L1
FBgn0037662	CG11997
FBti0020306	hopper
FBgn0083984	CG34148
FBgn0001297	kay
FBgn0038316	CG6276
FBti0063833	INE-1
FBgn0043069	MESK4
FBgn0037292	plh
FBti0062388	Tc1-2
FBgn0051005	qless
FBgn0039448	TwdlQ
FBgn0037531	CG10445
FBgn0085322	CG34293
FBgn0038462	EMC2A
FBgn0012028	Tyr-GTA-1-4
FBgn0051266	CG31266
FBgn0039323	CG10559
FBti0060383	INE-1
FBgn0038105	yellow-f2
FBgn0263596	CG43618
FBgn0037594	Or85d
FBgn0266371	CR45015
FBgn0051516	CG31516
FBti0062097	TART-B
FBgn0267713	CR46046
FBgn0038890	sp3
FBgn0038361	Uros2
FBgn0259237	CG42335
FBgn0267681	CR46017
FBti0059755	Dm88
FBgn0085386	CG34357
RR48301_transposable_element	F; RR48301
FBgn0039719	CG15515
FBgn0039006	Cyp6d4
FBgn0051121	CG31121
FBgn0015574	alpha-Est6
FBgn0054041	CG34041
FBgn0266699	CR45189
FBti0019320	jockey
FBgn0039184	CG6432
FBgn0038888	CheB93a
FBgn0039189	CG18528
FBti0061579	INE-1
FBgn0267789	CR46120
FBgn0267198	CR45638
FBgn0262388	mir-92b
FBgn0037924	CG14712
FBgn0046886	Gr98c
FBti0062391	Tc1-2
FBgn0047114	CG31142
FBgn0038672	CG6005
FBgn0051008	CG31008
FBgn0037650	CG11977
FBti0062552	INE-1
FBgn0267212	CR45652
FBgn0260942	bond
FBti0019318	Rt1b
FBgn0038925	Cchl
FBgn0039212	Syx18
FBti0062364	Rt1b
FBgn0039053	CG6738
FBgn0038390	Rbf2
FBgn0263497	CR43486
FBgn0037279	Gmppb
FBgn0038275	CG3817
FBgn0003525	stg
FBgn0264900	CR44091
FBgn0039149	CG18428
FBgn0039273	shams
FBgn0038649	PGS1
FBgn0038239	Jig
FBgn0011270	Pglym87
FBti0019352	I; Sirt6-iso-1b
FBgn0039028	CG13840
FBgn0037317	CG14667
FBgn0038546	CG7379
FBti0062141	INE-1
FBgn0039771	Osi23
FBgn0002306	sas
FBgn0261279	lqfR
FBti0062451	INE-1
FBgn0038653	Octalpha2R
FBgn0261291	CheA86a
FBgn0039616	CG11828
FBgn0025879	Timp
FBgn0266231	CR44926
FBgn0004187	95Cc
FBgn0264898	CR44089
FBgn0002633	E(spl)m7-HLH
FBgn0051331	Phe-GAA-1-7
FBti0061757	gypsy
FBgn0002772	Mlc1
FBgn0051030	VhaAC45RP
FBgn0266240	CR44935
FBgn0260760	CG42558
FBgn0038038	CG5167
FBti0019322	micropia
FBgn0039030	CG6660
FBti0063301	diver2
FBgn0037290	Jhbp1
FBgn0283501	CR46115
FBgn0038385	Fbxl7
FBti0062147	invader4
FBti0062104	INE-1
FBgn0261843	pre-mod(mdg4)-W
FBgn0250757	kumpel
FBgn0260944	Rbp1
FBgn0267147	CR45587
FBgn0038796	eIF3g2
FBgn0037772	Spn85F
FBgn0017577	Mcm5
FBgn0038280	CG14861
FBgn0285955	cv-c
FBti0060344	INE-1
FBgn0024963	GluClalpha
FBti0019457	pogo
FBgn0065070	291
FBti0020313	HB
FBgn0038498	beat-IIa
FBgn0051578	Pro-TGG-1-4
FBgn0267706	CR46039
FBgn0038897	CG5849
FBgn0038482	CG4053
FBgn0267651	pre-mod(mdg4)-O
FBgn0266416	CR45056
FBgn0267207	CR45647
FBgn0039277	Nepl16
FBgn0039817	CG15553
FBgn0267233	CR45673
FBgn0283535	Vha26
FBgn0038366	CG4576
FBgn0039868	CG11563
FBgn0267703	CR46036
FBgn0037500	CG17944
FBgn0037590	Or85b
FBgn0027494	RpS10a
FBgn0267146	CR45586
FBgn0038830	CG17272
FBgn0019940	Rh6
FBgn0265067	CR44178
FBgn0037667	CG16734
FBgn0261238	Alh
FBti0019324	X
FBgn0010173	RPA1
FBgn0000158	bam
FBgn0039788	Rpt6R
FBgn0039875	sip3
FBgn0039635	Pdhb
FBti0062166	invader4
FBti0059855	INE-1
FBgn0020399	Mst89B
FBgn0002732	E(spl)malpha-BFM
FBgn0037547	CG7910
FBgn0286880	CR46402
FBti0062793	INE-1
FBgn0038484	CG5246
FBgn0039310	CG11878
FBgn0000166	bcd
FBgn0038224	ATPsynE
FBgn0038262	CG14857
FBgn0051569	Ala-AGC-2-5
FBgn0038350	AOX4
FBgn0037766	Teh1
FBgn0264839	CR44047
FBgn0259831	CG34309
FBgn0011905	Lys-TTT-2-5
FBgn0016691	ATPsynO
FBgn0085465	CG34436
FBgn0266268	FeCH
FBgn0038029	GstD11
FBgn0037467	Ufl1
FBgn0004876	cdi
FBgn0267571	CR45911
FBgn0267820	CR46145
FBgn0038090	CG10909
FBgn0038730	Acsx1L
FBti0059752	Dm88
FBgn0262614	pyd
FBgn0037760	FBXO11
FBti0063085	Tc3
FBgn0267131	CR45571
FBgn0267701	CR46034
FBgn0263383	CR43435
FBti0062098	INE-1
FBgn0040257	Ugt302E1
FBgn0037358	elm
FBgn0250908	beat-VII
FBti0062824	INE-1
FBgn0038945	CG5386
FBgn0067317	Cby
FBgn0038651	Epg5
FBti0061677	INE-1
FBgn0263513	mir-4953
FBgn0051109	CG31109
FBgn0039050	CG17110
FBgn0000500	Dsk
FBgn0264429	CR43847
FBgn0039879	Ir100a
FBgn0039698	CG7789
FBgn0038142	CheA87a
FBgn0027512	CG10254
FBgn0039307	CR13656
FBti0059775	invader3
FBti0062244	INE-1
FBgn0267685	CR46021
FBti0019426	BS
FBgn0011582	Dop1R1
FBgn0027950	MBD-like
FBgn0037327	PEK
FBti0059720	Dm88
FBti0020296	rooA
FBgn0051119	HDAC11
FBgn0039761	CG18404
FBgn0038675	CG6013
FBgn0266700	CR45190
FBgn0015781	P5cr
FBgn0038974	CG5377
FBgn0038647	CG14302
FBgn0037677	CG12951
FBgn0039153	GatB
FBgn0039621	CG14518
FBgn0004237	Hrb87F
FBgn0083969	CG34133
FBgn0039464	CG6330
FBgn0287588	CG46458
FBgn0262125	Sec23
FBgn0038545	pasi1
FBgn0266247	CR44942
FBgn0285913	red
FBgn0038183	CG9286
FBgn0261680	CG42727
FBgn0267752	CR46083
FBgn0038161	CG9269
FBgn0039795	Spn100A
FBgn0002441	l(3)mbt
FBgn0065064	Psi28S-291
FBgn0086917	spok
FBgn0024329	Mekk1
FBgn0039598	aqrs
FBgn0266736	CR45209
FBgn0267753	CR46084
FBgn0039805	Cpr100A
FBgn0037987	CG14739
FBti0215307	gypsy2
FBgn0039064	CG4467
FBgn0266381	CR45023
FBgn0250754	CG42232
FBgn0038334	h-cup
FBgn0267692	CR46028
FBgn0038547	CG17803
FBgn0266406	CR45046
FBti0062520	INE-1
FBti0019369	jockey
FBgn0085328	CG34299
FBgn0039848	Loxl1
FBgn0037773	CG5359
FBgn0262431	mir-1003
FBgn0039438	TwdlO
FBgn0010768	sqz
FBgn0039167	CG17786
FBgn0039544	CG12877
FBti0019392	F
FBgn0266565	CR45104
FBgn0266599	Hsc70-4
FBgn0038295	Gyc88E
FBgn0038811	Pus1
FBgn0046114	Gclm
FBgn0000278	CecB
FBgn0261885	osa
FBgn0266698	CR45188
FBgn0267112	CR45552
FBgn0062442	Cisd2
FBgn0262364	CG43062
FBgn0266393	CR45033
FBgn0037320	CG14668
FBti0060997	INE-1
FBgn0051219	CG31219
FBgn0038708	Scsalpha2
FBgn0037815	Rrp46
FBgn0038862	Usp8
FBgn0051230	CG31230
FBgn0039862	kek6
FBgn0263929	jvl
FBgn0039265	CG11790
FBgn0039332	alrm
FBgn0085383	CG34354
FBgn0038938	CG7084
FBgn0045442	mthl12
FBgn0270925	CG4836
FBgn0011278	lbe
FBgn0051055	CG31055
FBgn0001217	Hsc70-2
FBgn0266668	Exo84
FBgn0005642	wdn
FBgn0266442	CG45072
FBgn0037632	CCT7
FBgn0039080	Ir94h
FBgn0265422	CR44334
FBgn0039190	CG5762
FBgn0262105	CR42858
FBgn0051086	CG31086
FBgn0039192	CG17784
FBgn0263143	vret
FBgn0283548	mir-9381
FBgn0037899	RpL24-like
FBgn0038510	CG14331
FBgn0266261	Sgsf
FBgn0037537	CG2767
FBgn0051176	CG31176
FBgn0085466	CG34437
FBgn0260990	yata
FBgn0262823	hemo
FBti0019451	jockey
FBgn0011224	heph
FBti0020314	Helena
FBgn0264563	CG43935
FBti0019391	blood
FBgn0051248	CG31248
FBti0019339	roo
FBgn0038306	Art3
FBgn0040259	Ugt302C1
FBgn0051103	CG31103
FBgn0026737	CG6171
FBgn0283558	mir-9375
FBgn0263231	bel
FBgn0010044	GstD8
FBgn0261986	RASSF8
FBgn0039522	CG13972
FBgn0267816	CR46141
FBgn0038181	CG9297
FBgn0039839	ppk24
FBgn0027784	Prp18
FBgn0038845	Alp5
FBgn0037232	Suv3
FBgn0266742	CR45215
FBgn0043791	phu
FBgn0039228	CG6980
FBgn0085462	CG34433
FBgn0266405	CG45045
FBgn0039407	Trmt61
FBgn0038700	CG3734
FBgn0289441	CR46532
FBgn0000276	CecA1
FBgn0037503	CG14598
FBti0061005	gypsy12
FBgn0039156	CG6178
FBgn0028992	sds22
FBgn0011217	eff
FBgn0085346	Rpp14a
FBgn0262801	twr
FBgn0040238	Best1
FBgn0037999	CG4860
FBgn0051215	Ala-AGC-2-11
FBgn0051547	NKCC
FBgn0283477	SF2
FBgn0053094	Synd
FBgn0039161	CG13606
FBgn0267768	CR46099
FBgn0002781	mod(mdg4)
FBti0063175	BS3
FBgn0047038	ND-13B
FBgn0044324	Chro
FBgn0035607	CG4835
FBgn0035906	GstO2
FBti0020231	S2
FBti0060759	INE-1
FBgn0265888	CR44677
FBgn0063670	CG40228
FBgn0035859	CG13678
FBgn0036711	CG13727
FBgn0036580	PDCD-5
FBgn0035358	CG14949
FBti0020085	roo
FBti0060974	baggins
FBti0061922	H
FBgn0266084	Fhos
FBgn0086069	Me28S-C3351
FBgn0003206	Ras64B
FBgn0011279	Obp69a
FBgn0035600	Cyt-c1
FBti0063913	copia
FBti0215354	S2
FBgn0262393	mir-33
FBgn0261636	CR42719
FBti0062730	gypsy9
FBgn0036853	mRpL21
FBgn0052069	CG32069
FBgn0263617	CR43626
FBgn0264697	CR43966
FBti0059644	roo
FBgn0036146	nkt
FBgn0029094	asf1
FBgn0267635	CR45973
FBgn0036730	qjt
FBgn0004591	Eig71Ed
FBgn0016081	fry
FBgn0036310	CG10969
FBgn0040799	CG13051
FBgn0054030	CG34030
FBgn0002945	nkd
FBgn0035471	Sc2
FBgn0267479	CR45829
FBgn0036335	mRpL20
FBti0061552	INE-1
FBgn0036950	CG6996
FBgn0035138	CG13884
FBgn0286051	Rexo5
FBgn0036110	Cpr67Fb
FBgn0035855	CG7366
FBgn0052376	CG32376
FBgn0037028	CG3618
FBgn0063667	meep
FBgn0035854	Dhps
FBti0060842	INE-1
FBgn0035498	Fit1
FBgn0250825	CG34241
FBgn0035272	mRpL46
FBgn0287585	Pss
FBgn0036602	CG13042
FBgn0035227	Iml1
FBti0020264	gypsy2
FBgn0260393	CG17147
FBgn0036348	CG17687
FBgn0036769	Tsp74F
FBgn0004870	bab1
FBgn0036599	CG13044
FBgn0262855	CG43219
FBgn0035238	CG12104
FBgn0011836	Taf2
FBgn0085491	CG34462
FBgn0003984	vn
FBti0020233	G4
FBgn0036770	Prestin
FBgn0035355	CG16985
FBgn0036833	CG3819
FBti0060947	invader2
FBgn0266775	CR45240
FBgn0000414	Dab
FBti0062488	transib3
FBgn0266777	CR45242
FBti0063925	Doc
FBgn0052457	CG32457
FBgn0035523	Ctl1
FBgn0265712	CR44519
FBgn0035584	CG17030
FBgn0014849	Eig71Ei
FBgn0052350	Vps11
FBgn0266931	CR45382
FBgn0036621	roq
FBgn0036439	CG13474
FBti0060416	roo
FBti0059924	Porto1
FBgn0028999	nerfin-1
FBti0020030	jockey
FBgn0287460	CR46449
FBgn0085276	CG34247
FBgn0036998	CG5969
FBgn0035107	mri
FBgn0052359	Leu-CAG-1-3
FBti0061763	INE-1
FBgn0052087	CG32087
FBgn0035770	pst
FBgn0266687	CR45177
FBgn0267581	CR45921
FBgn0264515	CR43914
FBgn0265759	CR44566
FBgn0036799	CG13380
FBgn0036825	RpL26
FBgn0036235	CG6938
FBgn0263605	l(3)72Dn
FBgn0262719	CG43163
FBgn0004380	Klp64D
FBgn0035545	CG12607
FBgn0035976	PGRP-LC
FBgn0052243	CG32243
FBti0020089	X
FBti0063967	Cr1a
FBgn0035111	Dis3l2
FBgn0267602	CR45940
FBgn0036141	wls
FBgn0266757	mfr
FBgn0036942	CG7328
FBgn0265931	CR44720
FBgn0037186	CG11241
FBti0020032	pogo
FBti0063904	F
FBti0061560	INE-1
FBti0060436	Doc
FBgn0259933	Dpm2
FBti0060225	INE-1
FBgn0267484	CR45834
FBgn0035300	acs
FBgn0262813	CG43184
FBgn0035372	CG12093
FBti0063248	INE-1
FBti0061254	INE-1
FBgn0036590	CG13065
FBgn0000594	Est-P
FBgn0264472	CG43880
FBgn0262895	CR43250
FBgn0263603	Zn72D
RR48314_transposable_element	F; RR48314
RR48317_transposable_element	F; RR48317
FBgn0262892	CR43247
FBgn0263647	CG43638
FBgn0035488	CG11593
FBgn0035508	CG15005
FBti0020202	Cr1a
FBgn0036499	CG7276
FBgn0052425	CG32425
FBgn0035924	CG6576
FBgn0011206	bol
FBgn0262376	mir-219
FBgn0263601	mib1
FBti0063251	INE-1
FBgn0266939	CR45390
FBgn0267960	CR46240
FBgn0004514	Oct-TyrR
FBgn0267618	CR45956
FBti0060977	Idefix
FBgn0036608	CG13040
FBgn0027111	miple1
FBgn0013263	Trl
FBgn0036681	Obp73a
FBti0062453	diver2
FBti0020137	S
FBgn0010762	simj
FBti0215302	gypsy
FBgn0035866	Arl5
FBgn0052479	Usp10
FBgn0035569	CG15876
FBgn0027594	drpr
FBti0062065	INE-1
FBgn0040475	SH3PX1
FBti0062637	INE-1
FBgn0002775	msl-3
FBgn0267464	CR45814
FBgn0052072	Elo68alpha
FBgn0035627	Sse
FBgn0028377	gdl-ORF39
FBti0062213	BS3
FBgn0036967	SCCRO4
FBgn0020642	Lcp65Ac
FBgn0036005	pall
FBti0020157	BS
FBgn0024194	rasp
FBgn0036262	Miox
FBgn0036390	CG13738
FBgn0052272	Lys-CTT-1-13
FBti0020184	Tirant
FBti0061814	INE-1
FBgn0267300	CR45736
FBgn0267462	CR45812
FBgn0262437	mir-274
FBgn0040239	bc10
FBti0061033	gypsy2
FBgn0035436	CG12016
FBgn0001224	Hsp23
FBgn0035333	CG1317
FBgn0035205	Ctr9
FBgn0267306	CR45742
FBgn0035160	hng3
FBti0063971	Cr1a
FBgn0036009	Or67a
FBgn0037149	CG14561
FBgn0001085	fz
FBgn0046793	CG32236
FBgn0035255	RabX5
FBgn0036756	Cln3
FBgn0036029	CG16719
FBgn0037170	Trxr2
FBti0062573	INE-1
FBgn0045479	Gr64a
FBgn0035916	GAPsec
FBgn0052109	CG32109
FBti0063907	INE-1
FBgn0040694	CG14974
FBgn0261507	CG42655
FBgn0035953	CG5087
FBti0020214	X
FBgn0267580	CR45920
FBgn0020251	sfl
FBgn0037171	CG14459
FBgn0025807	Rad9
FBgn0037142	CG14562
FBti0060394	INE-1
FBti0063880	INE-1
FBgn0267238	CR45678
FBgn0036282	Smyd4-2
FBgn0260795	NaPi-III
FBgn0287590	CG46460
FBgn0036592	CG13049
FBti0063219	INE-1
FBti0020127	copia
FBgn0035817	CG7409
FBgn0035944	CG5021
FBgn0047334	BG642312
FBgn0265455	CG44355
FBgn0036801	MYPT-75D
FBgn0265574	Cdc5
FBgn0266582	ND-30
FBti0063315	gypsy4
FBti0062211	flea
FBgn0267248	CR45688
FBgn0036196	CG11658
FBti0061247	INE-1
FBgn0036925	schuy
FBgn0011693	Pdh
FBgn0013717	not
FBti0061393	INE-1
FBgn0266724	Trs20
FBgn0052319	Naa30B
FBgn0035657	alphaKap4
FBgn0036811	MED11
FBgn0004619	GluRIA
FBgn0287591	CR46461
FBti0062731	X
FBgn0266771	CR45236
FBgn0052133	Ptip
FBgn0035426	CG12078
FBgn0265084	CG44195
FBgn0010431	mtrm
FBgn0010909	msn
FBgn0036570	IntS9
FBgn0058160	CG40160
FBgn0261555	CG42673
FBgn0036237	viaf
FBti0063903	INE-1
FBgn0082946	Me28S-A2634a
FBgn0052199	CG32199
FBgn0035122	mRpL17
FBgn0053493	CG33493
FBti0062776	INE-1
FBgn0265747	CR44554
FBgn0035871	BI-1
FBgn0035270	CG13933
FBti0060377	INE-1
FBgn0035476	CG12766
FBgn0264467	CR43875
FBgn0035959	CG4911
FBgn0263387	CG43439
FBgn0035308	CG15822
FBgn0036022	CG8329
FBgn0267632	CR45970
FBgn0052303	Cys-GCA-3-1
FBgn0264484	CR43892
FBgn0040290	RecQ4
FBti0062063	G
FBgn0264717	CR43985
FBgn0001208	Hn
FBgn0027375	RecQ5
FBgn0036516	CG7656
FBgn0035928	CG13310
RR48387_transposable_element	Stalker4; RR48387
FBgn0035704	Vps8
FBgn0003410	sina
FBgn0035878	CG7182
FBgn0263767	CR43684
FBgn0036471	CG13460
FBgn0036962	CG17122
FBgn0036510	SCCRO
FBti0063340	gypsy8
FBgn0267935	CR46215
FBgn0037015	cmpy
FBgn0265887	CR44676
FBgn0286729	Or-CD15
FBgn0027587	Prp4k
FBgn0267663	CR46001
FBgn0036978	Toll-9
FBgn0260941	app
FBgn0020655	ArfGAP1
FBgn0053265	Muc68E
FBgn0041231	Gr68a
FBgn0037195	CG11226
FBgn0036784	CG5103
FBgn0267232	CR45672
FBgn0261537	CG42661
FBgn0035193	CG9192
FBti0020150	roo
FBgn0010741	Pfdn2
FBgn0036585	CG13071
FBgn0267936	CR46216
FBgn0041100	park
FBgn0052112	CG32112
FBgn0002899	mus301
FBti0063874	INE-1
FBgn0052483	CG32483
FBgn0286730	Me28S-A2629
FBgn0264475	CR43883
FBgn0035767	Cln7
FBgn0085290	Targ3
FBgn0266657	CR45164
FBgn0035539	slow
FBgn0035955	CG5194
FBgn0052283	Drsl3
FBgn0267307	CR45743
FBgn0052360	Leu-CAG-1-4
FBgn0023479	teq
FBgn0037078	CG12971
FBgn0036947	obst-F
FBti0063217	INE-1
FBgn0040022	Set1
FBgn0267458	CR45808
FBgn0266769	CR45234
FBgn0267463	CR45813
FBgn0260461	Rcd7
FBgn0001120	gnu
FBgn0265896	CR44685
FBti0020289	G6
FBgn0035733	CG8641
FBgn0262189	mir-2500
FBgn0261634	CG42717
FBti0059950	INE-1
FBgn0036155	CG6163
FBti0061815	INE-1
FBgn0036398	upSET
FBgn0264603	CR43952
FBgn0024177	zpg
FBgn0036742	CG7497
FBgn0262007	Srg2
FBti0215391	Q
FBgn0040828	CG13306
FBgn0036476	sstn
FBgn0036260	Rh7
FBgn0260967	CG42590
FBgn0052459	CG32459
FBgn0267617	CR45955
FBgn0000216	Brd
FBti0061008	gypsy4
FBgn0035697	CG10163
FBti0020066	NOF; nmo-FB-NOF
FBgn0286213	RpS12
FBgn0053287	CG33287
FBti0064245	INE-1
FBgn0036704	CG6497
